#Release 13.1 - par O.40d (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue May 15 17:58:28 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       main_map.ncd
#OUTPUT FILE:      main_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -5
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,D<6>,IOB,IO_L01P_7/VRN_7,BIDIR,LVCMOS33,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P2,D<7>,IOB,IO_L01N_7/VRP_7,BIDIR,LVCMOS33,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,AL<0>,IOB,IO_L21P_7,INPUT,LVCMOS33,7,,,,NONE,,LOCATED,NO,NONE,
P5,AL<1>,IOB,IO_L21N_7,INPUT,LVCMOS33,7,,,,NONE,,LOCATED,NO,NONE,
P6,,,VCCO_7,,,7,,,,,3.30,,,,
P7,,,VCCAUX,,,,,,,,2.5,,,,
P8,AL<2>,IOB,IO_L23P_7,INPUT,LVCMOS33,7,,,,NONE,,LOCATED,NO,NONE,
P9,AL<3>,IOB,IO_L23N_7,INPUT,LVCMOS33,7,,,,NONE,,LOCATED,NO,NONE,
P10,,,GND,,,,,,,,,,,,
P11,AL<4>,IOB,IO_L40P_7,INPUT,LVCMOS33,7,,,,NONE,,LOCATED,NO,NONE,
P12,AL<5>,IOB,IO_L40N_7/VREF_7,INPUT,LVCMOS33,7,,,,NONE,,LOCATED,NO,NONE,
P13,AL<6>,IOB,IO_L40P_6/VREF_6,INPUT,LVCMOS33,6,,,,NONE,,LOCATED,NO,NONE,
P14,AL<7>,IOB,IO_L40N_6,INPUT,LVCMOS33,6,,,,NONE,,LOCATED,NO,NONE,
P15,AL<8>,IOB,IO_L24P_6,INPUT,LVCMOS33,6,,,,NONE,,LOCATED,NO,NONE,
P16,AL<9>,IOB,IO_L24N_6/VREF_6,INPUT,LVCMOS33,6,,,,NONE,,LOCATED,NO,NONE,
P17,AH<20>,IOB,IO,INPUT,LVCMOS33,6,,,,NONE,,LOCATED,NO,NONE,
P18,,,VCCINT,,,,,,,,1.2,,,,
P19,,,VCCO_6,,,6,,,,,3.30,,,,
P20,,,GND,,,,,,,,,,,,
P21,AH<21>,IOB,IO,INPUT,LVCMOS33,6,,,,NONE,,LOCATED,NO,NONE,
P22,AH<22>,IOB,IO_L01P_6/VRN_6,INPUT,LVCMOS33,6,,,,NONE,,LOCATED,NO,NONE,
P23,AH<23>,IOB,IO_L01N_6/VRP_6,INPUT,LVCMOS33,6,,,,NONE,,LOCATED,NO,NONE,
P24,,,M1,,,,,,,,,,,,
P25,,,M0,,,,,,,,,,,,
P26,,,M2,,,,,,,,,,,,
P27,WR,IOB,IO_L01P_5/CS_B,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P28,RD,IOB,IO_L01N_5/RDWR_B,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P29,,,GND,,,,,,,,,,,,
P30,RUN_LED,IOB,IO_L28P_5/D7,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P31,,,VCCO_5,,,5,,,,,3.30,,,,
P32,ERR_LED,IOB,IO_L28N_5/D6,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P33,,,VCCAUX,,,,,,,,2.5,,,,
P34,IO11,IOB,IO_L31P_5/D5,TRISTATE,LVCMOS33,5,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P35,SPI_DIN,IOB,IO_L31N_5/D4,INPUT,LVCMOS33,5,,,PULLUP,NONE,,LOCATED,NO,NONE,
P36,SPI_DOUT,IOB,IO_L32P_5/GCLK2,OUTPUT,LVCMOS33,5,12,SLOW,PULLUP,,,LOCATED,YES,NONE,
