,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,순,국가,고객,견적번호,RFQ no.,견적일,유효일,Item,구분,수량,견적금액(외화),견적금액(KRW),AB 등급,CD등급,수주금액 (전체),수주금액 (2024년),수주금액 (2025년),원가,비고,입금 총액,입금 비율(전체),입금 비율(2024),,,,
ok,1,한국,지아이씨,CSP24-0409-1,,240409,240930,,"PAB, EID, PSR, ETND, EDD 생산",51 / 41 / 41 / 21 / 21,,423083700,423083700,,423083700,423083700,,,"1. 계약시 30% (126,925,110 KRW)
2. 제작 후 검사 전 30%
3. 검사 합격 후 납품 시 30%
4. 고객으로부터 물품대금 수령 후 잔금 10%",310664307,0.7342856909873862,0.7342856909873862,"241104 납품분 및  중도금 125,716,299 KRW
(품목 ???)","240925 2차 중도금 29,011,454 KRW
(PSR & EID 각 20EA)","240906 1차 중도금 29,011,454 KRW
(PSR & EID 각 20EA)","240411 선급금 126,925,100 KRW"
ok,2,한국,지아이씨,CSP24-0409-2,,240409,240412,1,"MOP 수리(17031, R1C001388)",1,,270000,270000,,270000,270000,,,,270000,1,1,계약 종료 / 24년 수주금액 입금 완료,240411 전자세금계산서,,
,,,,,,,240412,2,"MOP 수리(19067, R1C001388)",1,,900000,900000,,900000,900000,,,,900000,1,1,,,,
,,,,,,,240412,3,"MSR  HUB 수리(16006, R1B002192)",1,,1386000,1386000,,1386000,1386000,,,,1386000,1,1,,,,
,,,,,,,240412,4,"MSR  HUB 수리(19002, R1B002192)",1,,1386000,1386000,,1386000,1386000,,,,1386000,1,1,,,,
,3,한국,지아이씨,CSP24-0524-1,,240524,250227,,"MOP, MSR, CTM 생산",51 / 51 / 51,,350710750,350710750,,350710750,105213225,245497524.99999997,,"1. 계약시 30% (105,213,225 KRW)
2. 제작 후 검사 전 30%
3. 검사 합격 후 납품 시 30%
4. 고객으로부터 물품대금 수령 후 잔금 10%",105213225,0.3,1,"240524 선급금 105,213,225 KRW 전자세금계산서",,,
ok,4,한국,지아이씨,CSP24-0524-2,,240524,240726,1,PSR-HUB Board,82,,35260000,35260000,,35260000,35260000,,,1. 계약 시 선금 70%,24682000,0.7,0.7,"240524 선급금 138,467,000 KRW 전자세금계산서",,,
,,,,,,,,2,PSR-VOIP Board,82,,27060000,27060000,,27060000,27060000,,,2. 제작하고 검사 후 잔금 30%,18942000,0.7,0.7,,,,
,,,,,,,,3,PSR-PA-AMP1 Board,82,,27060000,27060000,,27060000,27060000,,,,18942000,0.7,0.7,,,,
,,,,,,,,4,PSR-PA-AMP2 Board,82,,15580000,15580000,,15580000,15580000,,,,10906000,0.7,0.7,,,,
