,,,,,,,,,,,,,,,,,,
,,,,견적가,,,,수주가,,,,,,,,,,
,구분,순,고객명,Total,AB,CD,,전체수주가,2024년 수주가,2025년 수주가,수주율,제작사원가,매출손익,손익율,비고,입금 총액,입금 비율(전체),입금 비율(2024)
,생산,1,지아이씨,1488279419,1488279419,0,,1488279419,1059434943.3000001,428844475.6999999,1,0,,,,828834550.3000001,0.5569078895526943,0.7823364290008122
,,2,김포골드라인,957811200,957811200,,,,,,,,,,,,,
,,3,교통공사,209154910,207254910,,,1900000,1900000,0,0.009084175934478422,,,,,1900000,1,1
,,4,실리콘큐브,46840000,46840000,,,46840000,46840000,,,,,,,46840000,1,1
,,5,무한테크,20350000,0,11400000,,11400000,11400000,0,0.5601965601965602,,,,,0,0,0
,,6,다원시스,923145936,895178562,0,,410000000,123000000,287000000,0.4441334614725531,0,,,,123000000,0.3,1
,,7,티랩,0,0,0,,0,0,0,,0,,,,,,
,,8,마루소프트,20350000,20350000,,,0,0,0,0,,,,,,,
,,9,신진금고,169299200,169299200,,,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,소계,3835230665,3785013291,11400000,,1958419419,1242574943.3000002,715844475.6999999,0.5106392783287782,0,0,0,,,,
