,,,,,,,,,,,,,,,,,,,,,,,,
,2024년 주식회사 비업시스 영업 현황,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,PO or RFQ no.,프로젝트명,국가,일정,,,,,,,,,,,,견적가,"수주가
(AB)","수주가
(CD)",수주금액,제조원가,손익(%),비고
,,,,,,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,,,,,,,
,1,지아이씨,CSP24-0409-1,"PAB, EID, PSR, ETND, EDD 생산",홍콩,,,,,,,,,,,,,423083700,423083700,,423083700,,,
,,,CSP24-0409-2,"MOP 수리(17031, R1C001388)",홍콩,,,,,,,,,,,,,3942000,3942000,,3942000,,,
,,,CSP24-0524-1,"MOP, MSR, CTM 생산",홍콩,,,,,,,,,,,,,350710750,350710750,,350710750,,,
,,,CSP24-0524-2,PSR-Hub외 9종 생산,홍콩,,,,,,,,,,,,,197810000,197810000,,197810000,,,
,,,CSP24-0913-1,MSR NVR,홍콩,,,,,,,,,,,,,351015169,351015169,,351015169,,,
,,,CSP24-0923-1,MSR PWR BOARD. FOR MSR.,홍콩,,,,,,,,,,,,,161717800,161717800,,161717800,,,
,2,김포골드라인,202410041,김포골드라인 10량분,대한민국,,,,,,,,,,,,,957811200,957811200,,,,,
,3,서울교통공사,,7호선 3차분 PIS-CSC 장치 교체,대한민국,,,,,,,,,,,,,207254910,207254910,,,,,
,,,,7호선 3차분 PIS-CSC 장치 수리,대한민국,,,,,,,,,,,,,1900000,1900000,,1900000,,,
,4,실리콘큐브,뉴펄스진행,MSR/PSR/MOP/CTM 수리,홍콩,,,,,,,,,,,,,46840000,46840000,,46840000,,,
,5,무한테크,MT-241007-A,MTX/MRX,인도네시아,,,,,,,,,,,,,20350000,,20350000,11400000,,,
,6,다원시스,DWE-2024-JUN-11-001,7호선 3차분 TCMS 개조,대한민국,,,,,,,,,,,,,270843306,270843306,,270000000,,,
,,,DWE-2024-AUG-29-001,4호선 방송편집기 소프트웨어개발,대한민국,,,,,,,,,,,,,156423296,156423296,,140000000,,,
,,,,7호선3차분TCMS개조관련외주용역,대한민국,,,,,,,,,,,,,349389820,349389820,,,,,
,,,,고장분석기기고정용RACK시험기,대한민국,,,,,,,,,,,,,118513140,118513140,,,,,
,,,,4호선210량 소프트웨어 개선비,대한민국,,,,,,,,,,,,,27967374,,27967374,,,,
,7,티랩,202407031,인도네시아 TCMS 개량,인도네시아,,,,,,,,,,,,,482560000,,482560000,,,,
,8,마루소프트,202409061,인도네시아LRT_CTM,인도네시아,,,,,,,,,,,,,203350000,203350000,,,,,
,9,신진금고,2024110701,티렉디바이스(신진금고)_LCDDISPLAY,대한민국,,,,,,,,,,,,,169299200,169299200,,,,,
,,총계,,,,,,,,,,,,,,,,4500781665,3969904291,530877374,1958419419,,,
,,,,,,,,,,,,,,,,,,,,수주율(%),0.43512873202215196,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,USD,1200,,,,,
,,,,,,,,,,,,,,,,,,Euro,1400,,,,,
,,,,,,,,,,,,,,,,,,HKD,140,,,,,
,,,,,,,,,,,,,,,,,,SGD,800,,,,,
,,,,,,,,,,,,,,,,,,AUD,830,,,,,
,,,,,,,,,,,,,,,,,,NZD,850,,,,,
,,,,,,,,,,,,,,,,,,CNY,160,,,,,
,,,,,,,,,,,,,,,,,,GBP,1700,,,,,
,,,,,,,,,,,,,,,,,,JPY,9.2,,,,,
