Part Lists,,,,,,,,,,,,,,,,
PROJECT ,,HongKong MTR,,,,,,,,,,,,,,
Model / Ver.,,HK_AMP1_A2,,,,,,,,,,,,,,
Date,,2014. 7. 14,,,,,201,◀ Total Quantity,,,,,Total COST,,,
Remark,,,,,,,1,◀ Ass'y Quantity,,,,,0,,,
,,,,,,,,,,,,,,,,
STOCK,ORDER,No,ITEM,Category,"Part Number
(Specification)",Manufacturer,Q'ty,Location,Sub-Category,Package Type,Temperature,Package,"Unit
PRICE","Total
PRICE",MOQ/REEL,REMARK
,,,,,,,,,,,,,,,,
,1,1,IC,"Microprocessor, Digital",ATMEGA128A-AU,ATMEL,1,U1,CMOS,HSMT,−55°C ~ +125°C,TQFP-64,0,0,,
,1,2,IC,"Micro, Linear",LM26CIM5-XHA,Texas Instruments,1,U2,CMOS,HSMT,−55°C ~ +125°C,SOT-23-5,0,0,,
,1,3,IC,"Micro, Digital",PGA4311UA,Texas Instruments,1,U3,CMOS,HSMT,−40°C ~ +85°C,SOIC-28(WIDE),0,0,,
,2,4,IC,"Micro, Linear",INA163UA,Texas Instruments,2,"U4,U9",CMOS,HSMT,−55°C ~ +125°C,SOIC-14,0,0,,
,1,5,IC,"Micro, Linear",LM2596S-5,Texas Instruments,1,U5,CMOS,HSMT,−40°C ~ +125°C,TO-263-5(DDPAK-5),0,0,,
,1,6,IC,External,SPS1R5-12-12,POWER PLAZA,1,U6,EPRD-97,,−40°C ~ +85°C,DIP,0,0,,
,1,7,IC,"Micro, Linear",RO-1205S,RECOM-INTERNATIONAL,1,U7,CMOS,,−40°C ~ +85°C,SIP-4,0,0,,
,1,8,IC,"Micro, Linear",LP3856ES-3.3,National Semiconductor,1,U8,CMOS,HSMT,−40°C ~ +125°C,TO-263-5(DDPAK-5),0,0,,
,1,9,IC,"Micro, Linear",SA5532D,Texas Instruments,1,U10,CMOS,HSMT,−40°C ~ +85°C,SOIC-8,0,0,,
,1,10,IC,"Micro, Digital",SN74LVC1G3157DCKR,Texas Instruments,1,U11,TTL,HSMT,−40°C ~ +85°C,SC70-6(DCK),0,0,,
,1,11,IC,"Micro, Digital",LMV931MG,National Semiconductor,1,U12,CMOS,HSMT,−40°C ~ +125°C,SC70-5(DCK),0,0,,
,4,12,Diode,"Diode, Low Frequency",RB480K,ROHM,4,"D1,D2,D6,D7",SP,MB,+125°C,SOT-343,0,0,,
,1,13,Diode,"Diode, Low Frequency",SS26T3G,ON Semiconductor,1,D3,SP,MB,−55°C ~ +150°C,SMB(DO214-AA),0,0,,
,1,14,Diode,"Diode, Low Frequency",RB050L-40,ROHM,1,D4,SP,MB,+125°C,SOD-106,0,0,,
,1,15,Diode,"Diode, Low Frequency",1N4148W,Fairchild Semiconductor,1,D5,SWT,MB,+150°C,SOD-123,0,0,,
,1,16,TR,"Transistor, LF bipolar",KRC106S,KEC,1,Q2,SWT,,+150°C,SOT-23,0,0,,
,1,17,FET,"Transistor, LF Si FET",IRLML6401,International Rectifier,1,Q1,LFMOS,,−55°C ~ +150°C,SOT-23,0,0,,
,6,18,POWER Inductor,Coil,DLCB6D38-2R0100(10uH),DACOWELL,6,"L1,L2,L3,L5,L6,L7",FC,,−40°C ~ +105°C,SMD 7*7,0,0,,
,1,19,POWER Inductor,Coil,DLCB6D38-1R1330(33uH),DACOWELL,1,L4,FC,,−40°C ~ +105°C,SMD 7*7,0,0,,
,3,20,BEAD,"Filter, Electronic",BLM21PG220SN1,muRata,3,"FB1,FB3,FB4",Ceramic Ferrite,,−55°C ~ +125°C,2012,0,0,,
,1,21,BEAD,"Filter, Electronic",NOP,muRata,1,FB2,Ceramic Ferrite,,−55°C ~ +125°C,2012,0,0,,
,10,22,LED,"Detector, Isolator, Emit ",Green,,10,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,
LED8,LED9,LED10",LED,,−40°C ~ +85°C,1608,0,0,,
,1,23,Switch,Switch,NOP(S-1011A),COPAL ELECTRONICS,1,S1,ROT,,−40°C ~ +85°C,DIP,0,0,,
,1,24,OSC,Quartz Crystal,DSC1001BI2-008.0000T,DISCERA,1,X2,8MHz,,−40°C ~ +85°C,5032,0,0,,
,1,25,Connector,"Connector, General",533402(Male_96pin),ERNI,1,CN1,CD,,−55°C ~ +125°C,-,0,0,,
,1,26,Connector,"Connector, General",5267-07,MOLEX,1,J1,RC,,−40°C ~ +105°C,-,0,0,,
,1,27,Connector,"Connector, Socket",HEADER 2x3 6PIN,,1,J2,DIP,,−40°C ~ +85°C,-,0,0,,
,,28,Connector,,FX8-60S-SV,Hirose,2,"J3,J4",RC,,−55°C ~ +85°C,,0,0,,
,2,29,Test Pin,TP,Test Point,,2,"TP1,TP2",TP,,,-,0,0,,
,4,30,Tantal Cap,Capacitor,1uF/16V/A,,4,"CT4,CT5,CT6,CT7",CWR,,−55°C ~ +85°C,A(3216),0,0,,
,1,31,Tantal Cap,Capacitor,4.7uF/16V/A,,1,CT30,CWR,,−55°C ~ +85°C,A(3216),0,0,,
,1,32,Tantal Cap,Capacitor,22uF/10V/A,,1,CT15,CWR,,−55°C ~ +85°C,A(3216),0,0,,
,12,33,Tantal Cap,Capacitor,47uF/6.3V/B,,12,"CT1,CT2,CT3,CT8,CT9,CT10,CT11,CT12,
CT13,CT14,CT24,CT25",CWR,,−55°C ~ +85°C,B(3528),0,0,,
,4,34,Tantal Cap,Capacitor,47uF/16V/C,,4,"CT27,CT28,CT34,CT35",CWR,,−55°C ~ +85°C,C(6032),0,0,,
,5,35,Tantal Cap,Capacitor,22uF/35V/D,,5,"CT31,CT36,CT37,CT38,CT39",CWR,,−55°C ~ +85°C,D(7343),0,0,,
,6,36,Tantal Cap,Capacitor,47uF/25V/D,,6,"CT21,CT22,CT23,CT26,CT29,CT32",CWR,,−55°C ~ +85°C,D(7343),0,0,,
,1,37,Tantal Cap,Capacitor,100uF/16V/D,,1,CT33,CWR,,−55°C ~ +85°C,D(7343),0,0,,
,1,38,Chip Capacitor,Capacitor,221P,,1,C11,CDR,,−55°C ~ +125°C,1608,0,0,,
,1,39,Chip Capacitor,Capacitor,202P,,1,C57,CDR,,−55°C ~ +125°C,1608,0,0,,
