Part Lists,,,,,,,,,,,,,,,,
PROJECT ,,HONGKONG,,,,,,,,,,,,,,
Model / Ver.,,PSR-VoIP A2,,,,,,,,,,,,,,
Date,,2014. 7. 14,,,,,77,◀ Total Quantity,,,,,Total COST,,,
Remark,,,,,,,1,◀ Ass'y Quantity,,,,,0,,,
,,,,,,,,,,,,,,,,
STOCK,ORDER,No,ITEM,Category,"Part Number
(Specification)",Manufacturer,Q'ty,Location,Sub-Category,Package Type,Temperature,Package,"Unit
PRICE","Total
PRICE",MOQ/REEL,REMARK
,,,,,,,,,,,,,,,,
,1,1,IC,"Micro, Linear",LD1117S50CTR,,1,U1,CMOS,HSMT,−40°C ~ +125°C,SOT-223,0,0,,
,2,2,IC,"Micro, Linear",RC4558ID,Texas Instruments,2,"U3,U4",CMOS,HSMT,−40°C ~ +85°C,SOIC-8,0,0,,
,2,3,Diode,"Diode, Low Frequency",1SR154-400,ROHM,2,"D1,D2",SP,MB,−55°C ~ +150°C,SOD-106,0,0,,
,3,4,TR,"Transistor, LF bipolar",KRC106S,KEC,3,"Q1,Q2,Q3",SWT,,+150°C,SOT-23,0,0,,
,3,5,LED,"Detector, Isolator, Emit ",Green,,3,"LED1,LED3,LED4",LED,,−40°C ~ +85°C,1608,0,0,,
,1,6,LED,"Detector, Isolator, Emit ",Yellow,,1,LED2,LED,,−40°C ~ +85°C,1608,0,0,,
,1,7,Connector,"Connector, General",533402(96pin Male) ,ERNI,1,CN1,CD,,−55°C ~ +125°C,DIP,0,0,,
,1,8,Connector,"Connector, General",FX10A-80S/8-SV,HOROSE,1,J1,RC,,−55°C ~ +85°C,SMD,0,0,,
,1,9,Connector,"Connector, General",FX10A-100S/10-SV,HOROSE,1,J2,RC,,−55°C ~ +85°C,SMD,0,0,,
,5,10,Tantal Cap,Capacitor,10uF/16V/B,,5,"CT4,CT5,CT6,CT7,CT8",CWR,,−55°C ~ +85°C,B(3528),0,0,,
,1,11,Tantal Cap,Capacitor,47uF/16V/C,,1,CT2,CWR,,−55°C ~ +85°C,C(6032),0,0,,
,2,12,Tantal Cap,Capacitor,100uF/16V/D,,2,"CT1,CT3",CWR,,−55°C ~ +85°C,D(7343),0,0,,
,1,13,Chip Capacitor,Capacitor,42P,,1,C16,CDR,,−55°C ~ +125°C,1608,0,0,,
,2,14,Chip Capacitor,Capacitor,681P,,2,"C1,C2",CDR,,−55°C ~ +125°C,1608,0,0,,
,1,15,Chip Capacitor,Capacitor,102P,,1,C13,CDR,,−55°C ~ +125°C,1608,0,0,,
,0,16,Chip Capacitor,Capacitor,103P,,0,,CDR,,−55°C ~ +125°C,1608,0,0,,
,6,17,Chip Capacitor,Capacitor,104P,,6,"C3,C4,C5,C11,C14,C19",CDR,,−55°C ~ +125°C,1608,0,0,,
,5,18,Chip Capacitor,Capacitor,106P/2012,,5,"C9,C10,C15,C17,C18",CDR,,−55°C ~ +125°C,2012,0,0,,
,1,19,Chip Capacitor,,NOP,,1,C12,,,,1608,0,0,,
,1,20,Chip Capacitor,,NOP/2012,,1,C8,,,,2012,0,0,,
,6,21,Chip Resistor,Resistor,0R,,6,"R31,R32,R85,R86,R88,R89",RM,,−55°C ~ +155°C,1608,0,0,,
,2,22,Chip Resistor,Resistor,10R,,2,"R22,R30",RM,,−55°C ~ +155°C,1608,0,0,,
,1,23,Chip Resistor,Resistor,391R,,1,R4,RM,,−55°C ~ +155°C,1608,0,0,,
,5,24,Chip Resistor,Resistor,1K,,5,"R1,R2,R3,R17,R25",RM,,−55°C ~ +155°C,1608,0,0,,
,1,25,Chip Resistor,Resistor,2.2K,,1,R11,RM,,−55°C ~ +155°C,1608,0,0,,
,4,26,Chip Resistor,Resistor,4.7K,,4,"R6,R7,R8,R9",RM,,−55°C ~ +155°C,1608,0,0,,
,1,27,Chip Resistor,Resistor,6.8K,,1,R23,RM,,−55°C ~ +155°C,1608,0,0,,
,6,28,Chip Resistor,Resistor,10K,,6,"R12,R13,R14,R18,R19,R27",RM,,−55°C ~ +155°C,1608,0,0,,
,3,29,Chip Resistor,Resistor,33K,,3,"R16,R21,R29",RM,,−55°C ~ +155°C,1608,0,0,,
,3,30,Chip Resistor,Resistor,47K,,3,"R15,R20,R28",RM,,−55°C ~ +155°C,1608,0,0,,
,1,31,Chip Resistor,Resistor,68K,,1,R24,RM,,−55°C ~ +155°C,1608,0,0,,
,4,32,Chip Resistor,Resistor,NOP,,4,"R10,R26,R33,R34",RM,,−55°C ~ +155°C,1608,0,0,,
,,,,,,,,,,,,,,,,
,77,Total ,,,,,77,,,,,,0,0,,
,,REMARK,,,,,,,,,,,,,,
