Part Lists,,,,,,,,,,,,,,,,
PROJECT ,,-,,,,,,,,,,,,,,
Model / Ver.,,PBX Module A1,,,,,,,,,,,,,,
Date,,2014. 12. 11,,,,,172,◀ Total Quantity,,,,,Total COST,,,
Remark,,,,,,,1,◀ Ass'y Quantity,,,,,0,,,
,,,,,,,,,,,,,,,,
STOCK,ORDER,No,ITEM,Category,"Part Number
(Specification)",Manufacturer,Q'ty,Location,Sub-Category,Package Type,Temperature,Package,"Unit
PRICE","Total
PRICE",MOQ/REEL,REMARK
,,,,,,,,,,,,,,,,
,1,1,IC,"Micro, Digital",ADSP-BF532,Analog Devices,1,U1,CMOS,HSMT,−40°C ~ +85°C,LQFP-176,0,0,,
,1,2,IC,"Micro, Digital",TPS3808G12DBV,Texas Instruments,1,U2,CMOS,HSMT,−40°C ~ +125°C,SOT-23-6,0,0,,
,1,3,IC,"Micro, Digital",TPS3808G33DBV,Texas Instruments,1,U3,CMOS,HSMT,−40°C ~ +125°C,SOT-23-6,0,0,,
,1,4,IC,"Micro, Digital",DM9000AEP,"DAVICOM Semiconductor, Inc.",1,U4,CMOS,HSMT,    0°C ~ +70°C,LQFP-48L,0,0,,
,1,5,IC,"Micro, Digital","MT29F2G08AABWP
K9F2G08U0A-PCB0","Micron Technology,Inc.
SAMSUNG",1,U5,CMOS,HSMT,−40°C ~ +85°C,TSOP-48,0,0,,
,2,6,IC,"Micro, Digital",MT48LC64M8A2P,"Micron Technology,Inc.",2,"U6,U7",CMOS,HSMT,−40°C ~ +85°C,TSOP2-54,0,0,,
,1,7,IC,"Micro, Digital",W25X40BVSNIG,Winbond Electronics,1,U8,CMOS,HSMT,−40°C ~ +85°C,SOIC-8,0,0,,
,1,8,IC,"Micro, Linear",XC9572XL10QG100I,XILINX,1,U9,CMOS,HSMT,−65°C ~ +150°C,TQFP-100,0,0,,
,1,9,IC,"Micro, Linear",LM2596S-3.3,Texas Instruments,1,U10,CMOS,HSMT,−65°C ~ +150°C,TO-263-5(DDPAK-5),0,0,,
,1,10,OSC,Quartz Crystal,32.768Khz,ECS Inc.,1,Y1,32.768KHz,,−40°C ~ +125°C,ECX-34S(3.2X1.5X0.9),0,0,,
,1,11,OSC,Quartz Crystal,DSC1001BI2-002.0480T (2.048Mhz),"DISCERA, Inc.",1,Y3,2.048MHz,,−40°C ~ +85°C,5032,0,0,,
,1,12,OSC,Quartz Crystal,DSC1001BI2-010.0000T (10Mhz),"DISCERA, Inc.",1,Y2,10MHz,,−40°C ~ +85°C,5032,0,0,,
,1,13,OSC,Quartz Crystal,DSC1001BI2-025.0000T (25Mhz),"DISCERA, Inc.",1,Y4,25MHz,,−40°C ~ +85°C,5032,0,0,,
,2,14,Diode,"Diode, Low Frequency",1SR154-400,ROHM,2,"D1,D3",SP,MB,−55°C ~ +150°C,SOD-106,0,0,,
,1,15,Diode,"Diode, Low Frequency",MBRS340TR,International IOR,1,D2,SP,MB,−55°C ~ +150°C,SMC,0,0,,
,1,16,Diode,"Diode, Low Frequency",RB050L-40,ROHM,1,D4,SP,MB,−40°C ~ +125°C,SOD-106,0,0,,
,1,17,FET,"Transistor, LF Si FET",IRLML6401,International Rectifier,1,Q1,LFMOS,,−55°C ~ +150°C,SOT-23,0,0,,
,2,18,TR,"Transistor, LF bipolar",KRC106S,FAIRCHAILD SEMICONDUCTOR,2,"Q2,Q3",SWT,,+150°C,SOT-23,0,0,,
,3,19,LED,"Detector, Isolator, Emit ",Green,,3,"LED1,LED3,LED4",LED,,−40°C ~ +85°C,1608,0,0,,
,1,20,LED,"Detector, Isolator, Emit ",Yellow,,1,LED2,LED,,−40°C ~ +85°C,1608,0,0,,
,2,21,Power Inductor,Coil,DLCB6D38-2R0100(10uH),DACOWELL,2,"L2,L3",Fixed Inductor or Choke,,,SMD 7*7,0,0,,
,1,22,Power Inductor,Coil,DLCB6D38-1R1330(33uH),DACOWELL,1,L1,Fixed Inductor or Choke,,,SMD 7*7,0,0,,
,1,23,Connector,"Connector, General",FX10A-100P/10-SV1,Hirose Connector,1,J1,RC,,−55°C ~ +85°C,Header 100pin SMD,0,0,,
,1,24,Connector,"Connector, General",HEADER 14PIN,,1,J2,SIP,,−40°C ~ +85°C,DIP,0,0,,
,2,25,Tantal Cap,Capacitor,47uF/16V/C,,2,"CT12,CT13",CWR,,−55°C ~ +85°C,C(6032),0,0,,
,1,26,Tantal Cap,Capacitor,47uF/25V/D,,1,CT11,CWR,,−55°C ~ +85°C,D(7343),0,0,,
,2,27,Tantal Cap,Capacitor,100uF/16V/D,,2,"CT1,CT2",CWR,,−55°C ~ +85°C,D(7343),0,0,,
,3,28,Chip Capacitor,Capacitor,10P,,3,"C27,C28,C29",CDR,,−55°C ~ +125°C,1608,0,0,,
,2,29,Chip Capacitor,Capacitor,18P,,2,"C30,C31",CDR,,−55°C ~ +125°C,1608,0,0,,
,1,30,Chip Capacitor,Capacitor,102P,,1,C37,CDR,,−55°C ~ +125°C,1608,0,0,,
,2,31,Chip Capacitor,Capacitor,473P,,2,"C82,C83",CDR,,−55°C ~ +125°C,1608,0,0,,
,64,32,Chip Capacitor,Capacitor,104P,,64,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,
C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,
C25,C26,C32,C33,C34,C35,C36,C41,C42,C43,C45,
C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,
C57,C58,C59,C60,C61,C62,C63,C64,C65,C71,C72,
C73,C74,C75,C76,C77,C78,C81",CDR,,−55°C ~ +125°C,1608,0,0,,
,21,33,Chip Resistor,Resistor,0R,,21,"R3,R4,R5,R6,R7,R8,R9,R10,R11,R46,R47,R49,
R54,R55,R56,R57,R75,R77,R78,R79,R80",RM,,−55°C ~ +155°C,1608,0,0,,
,1,34,Chip Resistor,Resistor,22R,,1,R12,RM,,−55°C ~ +155°C,1608,0,0,,
,1,35,Chip Resistor,Resistor,33R,,1,R48,RM,,−55°C ~ +155°C,1608,0,0,,
,1,36,Chip Resistor,Resistor,47R,,1,R76,RM,,−55°C ~ +155°C,1608,0,0,,
,4,37,Chip Resistor,Resistor,49.9R,,4,"R41,R42,R43,R44",RM,,−55°C ~ +155°C,1608,0,0,,
,3,38,Chip Resistor,Resistor,331R,,3,"R26,R28,R30",RM,,−55°C ~ +155°C,1608,0,0,,
,1,39,Chip Resistor,Resistor,511R,,1,R27,RM,,−55°C ~ +155°C,1608,0,0,,
,1,40,Chip Resistor,Resistor,4.7K,,1,R18,RM,,−55°C ~ +155°C,1608,0,0,,
,1,41,Chip Resistor,Resistor,6.8K,,1,R45,RM,,−55°C ~ +155°C,1608,0,0,,
,24,42,Chip Resistor,Resistor,10K,,24,"R1,R2,R13,R15,R16,R17,R19,R20,
R21,R22,R24,R25,R29,R31,R32,
R52,R53,R71,R72,R73,R81,
R82,R83,R84",RM,,−55°C ~ +155°C,1608,0,0,,
,1,43,Chip Resistor,Resistor,68K,,1,R23,RM,,−55°C ~ +155°C,1608,0,0,,
,3,44,Chip Resistor,Resistor,100K,,3,"R14,R50,R51",RM,,−55°C ~ +155°C,1608,0,0,,
,1,45,Chip Resistor,Resistor,10M,,1,R33,RM,,−55°C ~ +155°C,1608,0,0,,
,2,46,Chip Resistor,,NOP,,2,"R58,R74",,,,1608,0,0,,
,172,Total ,,,,,172,,,,,,0,0,,
,,REMARK,,,,,,,,,,,,,,
,,"< Device Marking >
-. TPS3808G12DBV (AVY) 
-. TPS3808G25DBV (AVQ)
-. TPS3808G30DBV (AVP)
-. TPS3808G33DBV (AVO)",,,,,,,,,,,,,,
