"Engineering Change Order
(시방 변경 통보서 )",,,,,,,
,,,,,,,
PROJECT : HONGKONG,,,,,,,
,,,,,,,
Date,Model(Board),No.,Before Revision,,After Revision,,Remark
,,,Location,Specification,Location,Specification,
2014. 5. 20,PBX A1,1,J2,3PIN(2.54mm),J2,2X3 PIN(2.54mm),변경
,,2,,,T1,H2005ANL,추가
,,3,,,CT1,47uF/25V/D,추가
,,4,,,CT2,220uF/10V/D,추가
,,5,,,C17,102P/2KV,추가
,,6,,,C1,104P,추가
,,7,,,C2,104P,추가
,,8,,,C15,104P,추가
,,9,,,C16,104P,추가
,,10,,,C14,223P,추가
,,11,,,C11,682P,추가
,,12,,,C13,682P,추가
,,13,,,C12,103P,추가
,,14,R7,0R,R7,49.9R,변경
,,15,R8,0R,R8,49.9R,변경
,,16,R9,0R,R9,49.9R,변경
,,17,R10,0R,R10,49.9R,변경
,,18,,,R15,75R,추가
,,19,,,R16,75R,추가
2014. 7. 14,PBX A2,1,CN1,09031966921(96pin_Male),CN1,533402(Male_96pin),HARTING에서 ERNI로 변경
2015. 3. 30,PBX A2,1,T1,H2005ANL,T1,S558-5999-W2-F,
,,2,C11,682P,-,-,삭제
,,3,C12,103P,-,-,삭제
,,4,C13,682P,-,-,삭제
,,5,C14,223P,C14,104P,
,,6,R7,49.9R,R7,NOP,
,,7,R8,49.9R,R8,NOP,
,,8,R9,49.9R,R9,NOP,
,,9,R10,49.9R,R10,NOP,
,,10,R11,10R,-,-,삭제
