"Engineering Change Order
(시방 변경 통보서 )",,,,,,,
,,,,,,,
PROJECT : HONGKONG,,,,,,,
,,,,,,,
Date,Model(Board),No.,Before Revision,,After Revision,,Remark
,,,Location,Specification,Location,Specification,
2014. 7. 10,HK_ETX_A2,1,-,-,Q3,KRC106S,
,,2,-,-,Q4,KRC106S,
,,3,CN1,09031966921(96pin_Male),CN1,533402(Male_96pin),HARTING에서 ERNI로 변경
,,4,J3,5566-22,-,-,
,,5,-,-,J6,35312-06,
,,6,-,-,J7,35312-12,
,,7,C12,NOP/2012,C12,0R/2012,
,,8,C21,NOP/2012,C21,0R/2012,
,,9,R20,4.7K,R20,0R,
,,10,R21,4.7K,R21,0R,
,,11,R25,10K,R25,100K,
,,12,R33,4.7K,R33,0R,
,,13,R34,4.7K,R34,NOP,
,,14,R35,0R,R35,NOP,
,,15,R39,10K,R39,100K,
,,16,R50,3.3K/1W,R50,56K/1W,
,,17,R53,3.3K/1W,R53,56K/1W,
,,18,R56,3.3K/1W,R56,56K/1W,
,,19,R59,3.3K/1W,R59,56K/1W,
,,20,R62,3.3K/1W,R62,56K/1W,
,,21,R65,3.3K/1W,R65,56K/1W,
,,22,R68,3.3K/1W,R68,56K/1W,
,,23,R71,3.3K/1W,R71,56K/1W,
,,24,R74,3.3K/1W,R74,56K/1W,
,,25,-,-,R81,4.7K,
,,26,-,-,R82,NOP,
,,27,R97,0R,R97,NOP,
2014. 10. 24,ETX A2,1,R25,100K,R25,10K,
2015. 2. 23,ETX A2,1,R77,471R,R77,1K,
,,2,R78,471R,R78,1K,
,,3,R79,471R,R79,1K,
,,4,R80,471R,R80,1K,
2015. 5. 15,ETX A2,1,R39,100K,R39,10K,
,,2,R82,NOP,R82,10K,
