Part Lists,,,,,,,,,,,,,,,,
PROJECT ,,HONGKONG,,,,,,,,,,,,,,
Model / Ver.,,ETX A2,,,,,,,,,,,,,,
Date,,2015. 5. 15,,,,,201,◀ Total Quantity,,,,,Total COST,,,
Remark,,,,,,,1,◀ Ass'y Quantity,,,,,0,,,
,,,,,,,,,,,,,,,,
STOCK,ORDER,No,ITEM,Category,"Part Number
(Specification)",Manufacturer,Q'ty,Location,Sub-Category,Package Type,Temperature,Package,"Unit
PRICE","Total
PRICE",MOQ/REEL,REMARK
,,,,,,,,,,,,,,,,
,1,1,IC,"Micro, Linear",LD1117S33CTR,,1,U2,CMOS,HSMT,−40°C ~ +125°C,SOT-223,0,0,,
,1,2,IC,"Micro, Linear",LD1117S50CTR,,1,U1,CMOS,HSMT,−40°C ~ +125°C,SOT-223,0,0,,
,1,3,IC,"Micro, Linear",RC4558ID,Texas Instruments,1,U3,CMOS,HSMT,−40°C ~ +85°C,SOIC-8,0,0,,
,1,4,IC,"Micro, Digital",SN74LVC1G3157DCKR,Texas Instruments,1,U4,TTL,HSMT,−40°C ~ +85°C,SC70-6(DCK),0,0,,
,2,5,IC,"Micro, Digital",ADM2682EBRIZ,ADI,2,"U5,U6",CMOS,HSMT,−40°C ~ +85°C,SOIC-16(WIDE),0,0,,
,1,6,Diode,"Diode, Low Frequency",SS26T3G,ON Semiconductor,1,D1,SP,MB,−55°C ~ +150°C,SMB(DO214-AA),0,0,,
,18,7,Diode,"Diode, Low Frequency",1SR154-400,ROHM,18,"D10,D12,D13,D15,D16,D18,D19,D21,D22,
D24,D25,D27,D28,D30,D31,D33,D34,D36",SP,MB,−55°C ~ +150°C,SOD-106,0,0,,
,9,8,Diode,"Diode, Low Frequency",PTZ-5.1B,ROHM,9,"D11,D14,D17,D20,D23,D26,D29,D32,D35",VR,MB,+150°C,SOD-106,0,0,,
,8,9,TR,"Transistor, LF bipolar",KRC106S,KEC,8,"Q1,Q2,Q3,Q4,Q10,Q11,Q12,Q13",SWT,,+150°C,SOT-23,0,0,,
,1,10,POWER Inductor,Coil,DLCB6D38-2R0100(10uH),DACOWELL,1,L1,FC,,−40°C ~ +105°C,SMD 7*7,0,0,,
,3,11,LED,"Detector, Isolator, Emit ",Green,,3,"LED1,LED2,LED3",LED,,−40°C ~ +85°C,1608,0,0,,
,9,12,PHOTOCOUPLER,"Detector, Isolator, Emit ",PS2801-1,,9,"K1,K2,K3,K4,K5,K6,K7,K8,K9",PTSD,,−55°C ~ +100°C,SSOP-4,0,0,,
,2,13,Relays,,LAA110P,,2,"P1,P2",,,,SO-8/2.54mm,0,0,,
,2,14,Trans,Transformer,600:600/19mm/5pin,SUNGIL TECH,2,"T1,T2",AD,,,-,0,0,,
,1,15,Connector,"Connector, General",533402(Male_96pin),ERNI,1,CN1,CD,,−55°C ~ +125°C,DIP,0,0,,
,1,16,Connector,"Connector, General",FX10A-80S/8-SV,HOROSE,1,J1,RC,,−55°C ~ +85°C,SMD,0,0,,
,1,17,Connector,"Connector, General",FX10A-100S/10-SV,HOROSE,1,J2,RC,,−55°C ~ +85°C,SMD,0,0,,
,1,18,Connector,"Connector, General",35312-04,MOLEX,1,J5,RC,,−40°C ~ +105°C,DIP,0,0,,
,1,19,Connector,"Connector, General",35312-06,MOLEX,1,J6,RC,,−40°C ~ +105°C,DIP,0,0,,
,1,20,Connector,"Connector, General",35312-10,MOLEX,1,J4,RC,,−40°C ~ +105°C,DIP,0,0,,
,1,21,Connector,"Connector, General",35312-12,MOLEX,1,J7,RC,,−40°C ~ +105°C,DIP,0,0,,
,3,22,Tantal Cap,Capacitor,10uF/16V/B,,3,"CT10,CT11,CT12",CWR,,−55°C ~ +85°C,B(3528),0,0,,
,2,23,Tantal Cap,Capacitor,47uF/16V/B,,2,"CT4,CT6",CWR,,−55°C ~ +85°C,C(6032),0,0,,
,4,24,Tantal Cap,Capacitor,47uF/25V/D,,4,"CT1,CT2,CT3,CT5",CWR,,−55°C ~ +85°C,D(7343),0,0,,
,2,25,Chip Capacitor,Capacitor,82P,,2,"C14,C23",CDR,,−55°C ~ +125°C,1608,0,0,,
,4,26,Chip Capacitor,Capacitor,103P,,4,"C25,C29,C33,C37",CDR,,−55°C ~ +125°C,1608,0,0,,
,17,27,Chip Capacitor,Capacitor,104P,,17,"C1,C2,C3,C4,C5,C6,C7,C15,C18,C26,C27,C30,
C31,C34,C35,C38,C39",CDR,,−55°C ~ +125°C,1608,0,0,,
,11,28,Chip Capacitor,Capacitor,106P/2012,,11,"C10,C13,C16,C17,C19,C22,C24,C28,C32,C36,C40",CDR,,−55°C ~ +125°C,2012,0,0,,
,9,29,Chip Capacitor,Capacitor,271P/4532,,9,"C50,C51,C52,C53,C54,C55,C56,C57,C58",CDR,,−55°C ~ +125°C,4532,0,0,,
,2,30,Chip Capacitor,Capacitor,NOP,,2,"C11,C20",CDR,,−55°C ~ +125°C,1608,0,0,,
,2,31,Chip Capacitor,Capacitor,NOP/2012,,2,"C12,C21",CDR,,−55°C ~ +125°C,2012,0,0,,
,12,32,Chip Resistor,Resistor,0R,,12,"R20,R21,R33,R46,R48,R86,R87,R88,R89,
R95,R96,R98",RM,,−55°C ~ +155°C,1608,0,0,,
,2,33,Chip Resistor,Resistor,10R,,2,"R29,R32",RM,,−55°C ~ +155°C,1608,0,0,,
,2,34,Chip Resistor,Resistor,121R,,2,"R45,R47",RM,,−55°C ~ +155°C,1608,0,0,,
,1,35,Chip Resistor,Resistor,471R,,1,R3,RM,,−55°C ~ +155°C,1608,0,0,,
,2,36,Chip Resistor,Resistor,621R,,2,"R22,R36",RM,,−55°C ~ +155°C,1608,0,0,,
,17,37,Chip Resistor,Resistor,1K,,17,"R30,R31,R43,R44,R52,R55,R58,R61,R64,R67,
R70,R73,R76,R77,R78,R79,R80",RM,,−55°C ~ +155°C,1608,0,0,,
,2,38,Chip Resistor,Resistor,1.5K,,2,"R1,R2",RM,,−55°C ~ +155°C,1608,0,0,,
,7,39,Chip Resistor,Resistor,4.7K,,7,"R24,R38,R81,R91,R92,R93,R94",RM,,−55°C ~ +155°C,1608,0,0,,
,5,40,Chip Resistor,Resistor,10K,,5,"R25,R26,R39,R40,R82",RM,,−55°C ~ +155°C,1608,0,0,,
,2,41,Chip Resistor,Resistor,33K,,2,"R27,R41",RM,,−55°C ~ +155°C,1608,0,0,,
,2,42,Chip Resistor,Resistor,47K,,2,"R28,R42",RM,,−55°C ~ +155°C,1608,0,0,,
,0,43,Chip Resistor,Resistor,100K,,0,,RM,,−55°C ~ +155°C,1608,0,0,,
,2,44,Chip Resistor,Resistor,0R/2012,,2,"C12,C21",RM,,−55°C ~ +155°C,2012,0,0,,
,9,45,Chip Resistor,Resistor,4.7K/2012,,9,"R51,R54,R57,R60,R63,R66,R69,R72,R75",RM,,−55°C ~ +155°C,2012,0,0,,
,9,46,Chip Resistor,Resistor,56K/1W,,9,"R50,R53,R56,R59,R62,R65,R68,R71,R74",RM,,−55°C ~ +155°C,6432,0,0,,
,5,47,Chip Resistor,Resistor,NOP,,5,"R23,R34,R35,R37,R97",RM,,−55°C ~ +155°C,1608,0,0,,
,,,,,,,,,,,,,,,,
,201,Total ,,,,,201,,,,,,0,0,,
,,REMARK,,,,,,,,,,,,,,
