"Engineering Change Order
(시방 변경 통보서 )",,,,,,,
,,,,,,,
PROJECT : HONGKONG MOP,,,,,,,
,,,,,,,
Date,Model(Board),No.,Before Revision,,After Revision,,Remark
,,,Location,Specification,Location,Specification,
2014. 7. 14,MOP A2,1,-,-,K4,PS2801-1,
,,2,-,-,Q5,KRC106S,
,,3,-,-,LED5,GREEN,
,,4,-,-,LED6,YELLOW,
,,5,C23,106P/2012,C23,NOP,
,,6,C37,106P/2012,C37,NOP,
,,7,C51,106P/2012,C51,NOP,
,,8,C88,106P/2012,C88,0R/2012,
,,9,C92,106P/2012,C92,0R/2012,
,,10,C102,103P,C102,NOP,
,,11,R18,0R,R18,NOP,
,,12,-,-,R19,10K,
,,13,-,-,R20,10K,
,,14,-,-,R21,1K,
,,15,R30,1K,R30,NOP,
,,16,R35,1K,R35,68K,
,,17,R40,20K,R40,10K,
,,18,R47,1K,R47,NOP,
,,19,R52,1K,R52,68K,
,,20,R57,20K,R57,10K,
,,21,R64,1K,R64,NOP,
,,22,-,-,R90,391R,
,,23,-,-,R91,391R,
,,24,R120,621R,R120,NOP,
,,25,R135,68K,R135,6.8K,
,,26,R150,3.3K/1W,R150,56K/1W,
,,27,R153,3.3K/1W,R153,56K/1W,
,,28,R156,3.3K/1W,R156,56K/1W,
2014. 8. 7,MOP A2,1,C73,106P/2012,C73,0R/2012,
,,2,C82,106P/2012,C82,0R/2012,
,,3,R69,1K,R69,18K,
,,4,R74,20K,R74,10K,
,,5,R101,1K,R101,300K,
2014. 10. 7,MOP A2,1,R19,10K,R19,NOP,
2014. 12. 4,MOP A2,1,R35,68K,R35,30K,
,,2,R52,68K,R52,30K,
2015. 2. 23,MOP A2,1,R161,471R,R161,1K,
,,2,R162,471R,R162,1K,
,,3,R163,471R,R163,1K,
,,4,R165,471R,R165,1K,
,,5,R166,471R,R166,1K,
,,6,R167,471R,R167,1K,
,,7,R168,471R,R168,1K,
2015. 3. 30,MOP A2,1,-,-,Q6,KRC106S,추가
,,2,R1,1K,R1,1.5K,
,,3,R2,391R,R2,1K,
,,4,R19,NOP,R19,10K,
,,5,-,-,R22,10K,추가
,,6,R90,391R,R90,1K,
,,7,R91,391R,R91,1K,
,,8,-,-,R147,3.3K/1W,추가
,,9,-,-,R148,3.3K/1W,추가
,,10,-,-,R149,3.3K/1W,추가
,,11,R150,56K/1W,R150,10K,크기및 값 변경
,,12,R153,56K/1W,R153,10K,크기및 값 변경
,,13,R156,56K/1W,R156,10K,크기및 값 변경
2015. 6. 15,MOP A3,1,U15,INA163UA,U15,NOP,
,,2,K4,PS2801-1,-,-,삭제
,,3,VR1,1K,VR1,NOP,
,,4,TP2,TP,TP2,NOP,
,,5,CT1,100uF/16V/D,CT1,47uF/25V/D,
,,6,CT5,100uF/16V/D,CT5,47uF/25V/D,
,,7,CT34,47uF/6.3V/B,CT34,NOP,
,,8,C23,NOP/2012,C23,0R,
,,9,C37,NOP/2012,C37,0R,
,,10,C51,NOP/2012,C51,0R,
,,11,C79,222P,C79,NOP,
,,12,C80,106P/2012,C80,NOP,
,,13,C81,221P,C81,NOP,
,,14,C82,0R/2012,C82,NOP,
,,15,C83,105P,C83,NOP,
,,16,C84,105P,C84,NOP,
,,17,C85,106P/2012,C85,NOP,
,,18,R37,10K,R37,0R,
,,19,R54,10K,R54,0R,
,,20,R71,10K,R71,0R,
,,21,R109,621R,R109,NOP,
,,22,R110,1K,R110,NOP,
,,23,R111,22K,R111,NOP,
,,24,R113,10R,R113,NOP,
,,25,R114,10R,R114,NOP,
,,26,R115,2.2K,R115,NOP,
,,27,-,-,R140,0R,추가
,,28,-,-,R141,0R/2012,추가
,,29,R147,3.3K/1W,R147,1K/1W,
,,30,R148,3.3K/1W,R148,1K/1W,
,,31,R149,3.3K/1W,R149,1K/1W,
,,32,R152,1K,R152,47K,
,,33,R155,1K,R155,47K,
,,34,R160,1K,R160,47K,
2015. 10. 23,MOP A3,1,C23,0R,C23,106P/2012,2015년 6월 생산제품에 반영되지 않음. (수작업으로 교체)
,,2,C37,0R,C37,106P/2012,2015년 6월 생산제품에 반영되지 않음. (수작업으로 교체)
,,3,C51,0R,C51,106P/2012,2015년 6월 생산제품에 반영되지 않음. (수작업으로 교체)
,,4,R140,0R,R140,106P,2015년 6월 생산제품에 반영되지 않음. (수작업으로 교체)
