"Engineering Change Order
(시방 변경 통보서 )",,,,,,,
,,,,,,,
PROJECT : AMP Module,,,,,,,
,,,,,,,
Date,Model(Board),No.,Before Revision,,After Revision,,Remark
,,,Location,Specification,Location,Specification,
2014. 6. 23,AMP Module A1,1,-,-,C33,106P/2012,
,,2,-,-,C34,106P/2012,
,,3,-,-,C35,106P/2012,
,,4,-,-,C36,106P/2012,
,,5,R8,10K,R8,1.2K,부품값및 패턴변경
,,6,R9,10K,R9,1.2K,부품값및 패턴변경
,,7,R10,10K,R10,100K,
,,8,R11,10K,R11,22R,
,,9,R15,10K,R15,1K,
,,10,R17,33K,R17,12K,
,,11,R18,10K,R18,1K,
,,12,R21,33K,R21,12K,
,,13,R34,10K,R34,1.2K,부품값및 패턴변경
,,14,R35,10K,R35,1.2K,부품값및 패턴변경
,,15,R36,10K,R36,100K,
,,16,R37,10K,R37,22R,
,,17,R41,10K,R41,1K,
,,18,R43,33K,R43,12K,
,,19,R44,10K,R44,1K,
,,20,R47,33K,R47,12K,
2014. 7. 4,AMP Module A1,1,C10,106P/2012,C10,105P/2012,내압 50V 적용 
,,2,C12,106P/2012,C12,105P/2012,내압 50V 적용 
,,3,C26,106P/2012,C26,105P/2012,내압 50V 적용 
,,4,C28,106P/2012,C28,105P/2012,내압 50V 적용 
2014. 7. 7,AMP Module A1,1,TP1,TP,TP1,NOP,
,,2,TP2,TP,TP2,NOP,
,,3,TP7,TP,TP7,NOP,
,,4,TP8,TP,TP8,NOP,
2014. 7. 21,AMP Module A1,1,R8,1.2K,R8,10K,
,,2,R9,1.2K,R9,10K,
,,3,R34,1.2K,R34,10K,
,,4,R35,1.2K,R35,10K,
2014. 7. 21,AMP Module A1,1,C14,470nF/250V,C14,220nF/250V,포틀랜드용에만 적용
,,2,C30,470nF/250V,C30,220nF/250V,포틀랜드용에만 적용
2014. 10. 13,AMP Module A1,1,C10,105P/2012,C10,NOP/2012,
,,2,C12,105P/2012,C12,NOP/2012,
,,3,C14,470nF/250V,C14,22nF/630V,"홍콩, 포틀랜드 둘다 적용"
,,4,C26,105P/2012,C26,NOP/2012,
,,5,C28,105P/2012,C28,NOP/2012,
,,6,C30,470nF/250V,C30,22nF/630V,"홍콩, 포틀랜드 둘다 적용"
2015. 1. 29,AMP Module A1,1,C10,NOP/2012,C10,105P/2012,포틀랜드용에만 적용
,,2,C12,NOP/2012,C12,105P/2012,포틀랜드용에만 적용
,,3,C26,NOP/2012,C26,105P/2012,포틀랜드용에만 적용
,,4,C28,NOP/2012,C28,105P/2012,포틀랜드용에만 적용
2016. 1. 18,AMP Module A1,1,R23,8.2R/1W,R23,0R/1W,1~6편성은 미적용하여 SMD진행함. (현장에서 제품교체)
,,2,R24,8.2R/1W,R24,0R/1W,7편성부터 SMD로 진행
,,3,R49,8.2R/1W,R49,0R/1W,
,,4,R50,8.2R/1W,R50,0R/1W,
