Part Lists,,,,,,,,,,,,,,,,
PROJECT ,,Module,,,,,,,,,,,,,,
Model / Ver.,,AMP Module A1,,,,,,,,,,,,,,
Date,,2015. 1. 29,,,,,126,◀ Total Quantity,,,,,Total COST,,,
Remark,,,,,"★ J1,J2 Connector 품명주의",,1,◀ Ass'y Quantity,,,,,0,,,
,,,,,,,,,,,,,,,,
STOCK,ORDER,No,ITEM,Category,"Part Number
(Specification)",Manufacturer,Q'ty,Location,Sub-Category,Package Type,Temperature,Package,"Unit
PRICE","Total
PRICE",MOQ/REEL,REMARK
,,,,,,,,,,,,,,,,
,2,1,IC,"Micro, Digital",TDA7498,ST,2,"U1,U3",CMOS,HSMT,−40°C ~ +85°C,PowerSSO-36,0,0,,
,2,2,IC,"Micro, Linear",RC4558ID,Texas Instruments,2,"U2,U4",CMOS,HSMT,−40°C ~ +85°C,SOIC-8,0,0,,
,4,3,TR,"Transistor, LF bipolar",KRC106S,KEC,4,"Q1,Q2,Q3,Q4",SWT,,+150°C,SOT-23,0,0,,
,2,4,POWER Inductor,Coil,TOKO_22uH(DAEPW-M157S),TOKO,2,"L1,L2",FC,,−40°C ~ +85°C,TOKO,0,0,,
,2,5,Connector,"Connector, General","FX8-60P-SV   ▶ HongKong (3mm)
FX8C-60P-SV ▶ PORTLAND (10mm)",Hirose,2,"J1,J2",RC,,−55°C ~ +85°C,SMD Header 60pin,0,0,,
,5,6,Test Pin,TP,Test Point,,5,"TP3,TP4,TP5,TP6,TP9",TP,,,-,0,0,,
,4,7,Test Pin,TP,NOP,,4,"TP1,TP2,TP7,TP8",TP,,,-,0,0,,
,4,8,Film Capacitors,Capacitor,0.22uF/63V,,4,"C15,C16,C31,C32",CH,,−55°C ~ +85°C,DIP,0,0,,
,2,9,Film Capacitors,Capacitor,"22nF/630V , ±5% (PCMT46862223)
22nF/630V , ±10% (PCMT46863223)",,2,"C14,C30",CH,,−55°C ~ +85°C,10mm Pitch,0,0,,
,4,10,Tantal Cap,Capacitor,2.2uF/16V/A,,4,"CT3,CT4,CT11,CT12",CWR,,−55°C ~ +85°C,A(3216),0,0,,
,4,11,Tantal Cap,Capacitor,10uF/10V/A,,4,"CT5,CT6,CT13,CT14",CWR,,−55°C ~ +85°C,A(3216),0,0,,
,4,12,Tantal Cap,Capacitor,22uF/35V/D,,4,"CT7,CT8,CT15,CT16",CWR,,−55°C ~ +85°C,D(7343),0,0,,
,1,13,Tantal Cap,Capacitor,47uF/25V/D,,1,CT17,CWR,,−55°C ~ +85°C,D(7343),0,0,,
,4,14,Tantal Cap,Capacitor,100uF/16V/D,,4,"CT1,CT2,CT9,CT10",CWR,,−55°C ~ +85°C,D(7343),0,0,,
,2,15,Chip Capacitor,Capacitor,331P,,2,"C13,C29",CDR,,−55°C ~ +125°C,1608,0,0,,
,1,16,Chip Capacitor,Capacitor,103P,,1,C41,CDR,,−55°C ~ +125°C,1608,0,0,,
,11,17,Chip Capacitor,Capacitor,104P,,11,"C4,C5,C6,C9,C11,C20,C21,C22,C25,C27,C42",CDR,,−55°C ~ +125°C,1608,0,0,,
,14,18,Chip Capacitor,Capacitor,106P/2012,,14,"C1,C2,C3,C7,C8,C17,C18,C19,C23,C24,C33,
C34,C35,C36",CDR,,−55°C ~ +125°C,2012,0,0,,
,4,19,Chip Capacitor,Capacitor,105P/2012 (50V)  ▶ PORTLAND,,4,"C10,C12,C26,C28",CDR,,−55°C ~ +125°C,2012,0,0,,
,0,,,Capacitor,NOP/2012            ▶ HongKong,,,,CDR,,−55°C ~ +125°C,,0,0,,
,2,20,Chip Resistor,Resistor,10R,,2,"R7,R33",RM,,−55°C ~ +155°C,1608,0,0,,
,2,21,Chip Resistor,Resistor,22R,,2,"R11,R37",RM,,−55°C ~ +155°C,1608,0,0,,
,4,22,Chip Resistor,Resistor,1K,,4,"R15,R18,R41,R44",RM,,−55°C ~ +155°C,1608,0,0,,
,2,23,Chip Resistor,Resistor,4.7K,,2,"R2,R28",RM,,−55°C ~ +155°C,1608,0,0,,
,12,24,Chip Resistor,Resistor,10K,,12,"R1,R3,R8,R9,R13,R14,R27,R29,R34,R35,R39,R40",RM,,−55°C ~ +155°C,1608,0,0,,
,4,25,Chip Resistor,Resistor,12K,,4,"R17,R21,R43,R47",RM,,−55°C ~ +155°C,1608,0,0,,
,8,26,Chip Resistor,Resistor,20K,,8,"R4,R5,R6,R25,R30,R31,R32,R52",RM,,−55°C ~ +155°C,1608,0,0,,
,4,27,Chip Resistor,Resistor,33K,,4,"R16,R19,R42,R45",RM,,−55°C ~ +155°C,1608,0,0,,
,2,28,Chip Resistor,Resistor,39K,,2,"R12,R38",RM,,−55°C ~ +155°C,1608,0,0,,
,2,29,Chip Resistor,Resistor,100K,,2,"R10,R36",RM,,−55°C ~ +155°C,1608,0,0,,
,4,30,Chip Resistor,Resistor,0R/1W,,4,"R23,R24,R49,R50",RD,,−55°C ~ +155°C,6432,0,0,,
,2,31,Chip Resistor,Resistor,22R/1W,,2,"R22,R48",RD,,−55°C ~ +155°C,6432,0,0,,
,2,32,Chip Resistor,,NOP,,2,"R20,R46",,,,1608,0,0,,
,126,Total ,,,,,126,,,,,,0,0,,
,,REMARK,,,,,,,,,,,,,,
,,,"홍콩과 포틀랜드에 적용되는 Connector(J1,J2)와 일부 Capacitor (C10,C12,C26,C28) 가 서로 틀린점에 주의바람.",,,,,,,,,,,,,
,,,"홍콩과 포틀랜드에 적용되는 방열판이 서로 상이함. ( 높이가 홍콩은 7mm, 포틀랜드는 16mm )",,,,,,,,,,,,,
