비업시스 구매  입고 현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2025-09-30 00:00:00,,6199,,656513351,,,,,,695735215.066,,,,,,,695735215.066,64359921.5066,760095136.5726,,
순번,구분,계정과목,"발주 일자
(서명일 기준)",공급업체,물품공급요청서 계약번호,고객사,"고객사 PO번호
(계약번호)",프로젝트 (차량),제  목,품  목,현 황,"발주 
수량","발주 
단가","발주 
금액","금액 
단위","예상 
납기일",납기,"거래명세서
수취 여부","입고 일자
(계약 종료일)","입고 금액
(원)",환율,결제 조건,"결제
요청일","세금계산서
발행일","결제 
완료일","부가세 및 공제 
(%)","결제 금액
(원)","부가세 및 공제
(원)","결제 총 금액
(원)",비고,자료 서버 경로
1,프리랜서,인건비,2024-04-10 00:00:00,이동진,제BEUP KNK24-0410-1호,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,방송장치 하드웨어 및 문서,하드웨어 구매 및 테스트절차정리,결제완료,1,,5000000,원,2024-12-31 00:00:00,,,2024-12-18 00:00:00,5000000,1,구매등완료후,,-,2024-12-31 00:00:00,-0.033,5000000,-165000,4835000,사업소득세 3.3% 공제,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_이동진\GIC CSP24-0524-2호_PSR-Hub외9종생산
2,구매,원자재,2024-05-01 00:00:00,일렉콤티에스,BEUPIDOM-20240501,지아이씨,GIC CSP24-0409-1호,홍콩MTR 333량,홍콩 생산1차분 83종 자재,홍콩 생산1차분 83종 자재 선금 (30%),결제완료,1,,6874012.727272727,원,,,,2024-05-16 00:00:00,6874012.727272727,1,선금 30%,,,2024-05-16 00:00:00,0.1,6874012.727272727,687401.2727272727,7561413.999999999,네이버 게시판 자료,
3,구매,원자재,2024-05-01 00:00:00,일렉콤티에스,BEUPIDOM-20240501,지아이씨,GIC CSP24-0409-1호,홍콩MTR 333량,홍콩 생산1차분 83종 자재,홍콩 생산1차분 83종 자재 납품 (70%),결제완료,1,,16039357.272727273,원,,,,2024-05-24 00:00:00,16039357.272727273,1,잔금 70%,,,2024-05-24 00:00:00,0.1,16039357.272727273,1603935.7272727275,17643293,네이버 게시판 자료,
4,구매,원자재,2024-05-02 00:00:00,앤츠,BEUPIDOM-20240502,지아이씨,GIC CSP24-0409-1호,홍콩MTR 333량,LEDC BOARD 외,LEDC BOARD 외 선금 (30%),결제완료,1,,18780000,원,,,,2024-05-17 00:00:00,18780000,1,선금 30%,,,2024-05-19 00:00:00,0.1,18780000,1878000,20658000,네이버 게시판 자료,
5,구매,원자재,2024-05-02 00:00:00,앤츠,BEUPIDOM-20240502,지아이씨,GIC CSP24-0409-1호,홍콩MTR 333량,LEDC BOARD 외,LEDC BOARD 외 납품 (70%),결제완료,1,,43820000,원,,,,2024-08-01 00:00:00,43820000,1,잔금 70%,,,2024-08-02 00:00:00,0.1,43820000,4382000,48202000,네이버 게시판 자료,
6,구매,임가공,2024-05-03 00:00:00,메카전자,BEUPIDOM-20240503,지아이씨,GIC CSP24-0409-1호,홍콩MTR 333량,MRX REV1.2 생산 외,MRX REV1.2 생산 외 선금 (30%),결제완료,1,,2112000,원,,,,2024-05-19 00:00:00,2112000,1,선금 30%,,,2024-05-19 00:00:00,0.1,2112000,211200,2323200,네이버 게시판 자료,
7,구매,임가공,2024-05-03 00:00:00,메카전자,BEUPIDOM-20240503,지아이씨,GIC CSP24-0409-1호,홍콩MTR 333량,MRX REV1.2 생산 외,MRX REV1.2 생산 외 납품 (70%),결제완료,1,,4928000,원,,,,2024-06-13 00:00:00,4928000,1,잔금 70%,,,2024-06-14 00:00:00,0.1,4928000,492800,5420800,네이버 게시판 자료,
8,구매,원자재,2024-05-20 00:00:00,에쎈,BEUPIDOM-20240504,지아이씨,GIC CSP24-0409-1호,홍콩MTR 333량,EIDS LCD 강화유리,27인치 3T AG 강화유리,결제완료,50,45500,2275000,원,,,,,2275000,1,,,,2024-05-28 00:00:00,0.1,2275000,227500,2502500,네이버 게시판 자료,
9,구매,원자재,2024-05-23 00:00:00,파츠맨,BEUPIDOM-20240505,지아이씨,GIC CSP24-0524-1호,홍콩MTR 333량,홍콩 방송장치 11종 보드 부품,홍콩 방송장치 11종 보드 부품 선금 (38%),결제완료,1,,16197119,원,,,,2024-05-28 00:00:00,16197119,1,선금 약 38%,,,2024-05-28 00:00:00,0.1,16197119,1619711.9000000001,17816830.9,네이버 게시판 자료,
10,구매,원자재,2024-05-23 00:00:00,파츠맨,BEUPIDOM-20240505,지아이씨,GIC CSP24-0524-1호,홍콩MTR 333량,홍콩 방송장치 11종 보드 부품,홍콩 방송장치 11종 보드 부품 납품 (62%),결제완료,1,,26496461,원,,,,2024-07-24 00:00:00,26496461,1,잔금 약 62%,,,2024-07-24 00:00:00,0.1,26496461,2649646.1,29146107.1,네이버 게시판 자료,
11,구매,원자재,2024-05-23 00:00:00,태신전자,BEUPIDOM-20240506,지아이씨,GIC CSP24-0524-1호,홍콩MTR 333량,홍콩 방송장치 11종 PCB,홍콩 방송장치 11종 PCB 선금 (30%),결제완료,1,,1863990,원,,,,2024-05-24 00:00:00,1863990,1,선금 30%,,,2024-05-24 00:00:00,0.1,1863990,186399,2050389,네이버 게시판 자료,
12,구매,원자재,2024-05-23 00:00:00,태신전자,BEUPIDOM-20240506,지아이씨,GIC CSP24-0524-1호,홍콩MTR 333량,홍콩 방송장치 11종 PCB,홍콩 방송장치 11종 PCB 납품 (70%),결제완료,1,,4349310,원,,,,2024-06-19 00:00:00,4349310,1,잔금 70%,,,2024-06-19 00:00:00,0.1,4349310,434931,4784241,네이버 게시판 자료,
13,구매,원자재,2024-06-10 00:00:00,한톨브릿지,BEUPIDOM-20240601,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,AC494 TOOL 및 자재,AC494-IPP-SUK 외,결제완료,1,,24200,$,,발주후 4주내,,,30474085.466,1259.25973,선금 100%,,,,0.1,30474085.466,3047408.5466,33521494.012599997,"네이버 게시판 자료, 환율(1259.25973), AUDIOCODES 지급",
14,구매,원자재,2024-06-10 00:00:00,이엔엠테크놀러지,BEUPIDOM-20240602,지아이씨,GIC CSP24-0923-1호,홍콩MTR 333량,congatec BOARD,TC570/i3-1115GRE 외,결제완료,1,,2409000,원,,,,2024-06-19 00:00:00,2409000,1,,,,2024-06-19 00:00:00,0.1,2409000,240900,2649900,네이버 게시판 자료,
15,외주,개발,2024-06-15 00:00:00,드림온테크 유한회사,제BEUP KNK24-0615-1호,지아이씨,GIC CSP24-0524-1호,홍콩MTR 333량,NVR/CTM H/W개발 계약,NVR/CTM H/W개발 계약 선금 (40%),결제완료,1,,32000000,원,,,O,2024-06-26 00:00:00,32000000,1,선금 40%,,,2024-06-27 00:00:00,0.1,32000000,3200000,35200000,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\드림온테크 유한회사\240524_GIC CSP24-0524-1호_MOP외2종생산
16,외주,개발,2024-06-15 00:00:00,드림온테크 유한회사,제BEUP KNK24-0615-1호,지아이씨,GIC CSP24-0524-1호,홍콩MTR 333량,NVR/CTM H/W개발 계약,NVR/CTM H/W개발 계약 1차 (30%),결제완료,1,,24000000,원,,,O,2024-11-26 00:00:00,24000000,1,중도금(중간결과물  NVR 3대 전달)  30%,,2024-11-26 00:00:00,2024-11-29 00:00:00,0.1,24000000,2400000,26400000,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\드림온테크 유한회사\240524_GIC CSP24-0524-1호_MOP외2종생산
17,외주,개발,2024-06-15 00:00:00,드림온테크 유한회사,제BEUP KNK24-0615-1호,지아이씨,GIC CSP24-0524-1호,홍콩MTR 333량,NVR/CTM H/W개발 계약,NVR/CTM H/W개발 계약 2차 (30%),결제완료,1,,24000000,원,,,O,2025-01-24 00:00:00,24000000,1,잔금 30%,2025-02-05 00:00:00,,2025-02-06 00:00:00,0.1,24000000,2400000,26400000,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\드림온테크 유한회사\240524_GIC CSP24-0524-1호_MOP외2종생산
18,구매,원자재,2024-07-01 00:00:00,이젠티에스,BEUPIDOM-20240701,지아이씨,GIC CSP24-0923-1호,홍콩MTR 333량,TSC-50/IC,TSC-50/IC,결제완료,70,6000,420000,원,,,,,420000,1,,,,2024-07-01 00:00:00,0.1,420000,42000,462000,네이버 게시판 자료,
19,구매,원자재,2024-07-02 00:00:00,파이오닉스,BEUPIDOM-20240702,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,CH7517A-BF1,CH7517A-BF1,결제완료,140,4.9,686,$,,,,,941260.6,1372.1,,,,,0.1,941260.6,94126.06,1035386.6599999999,네이버 게시판 자료,
20,구매,기타,2024-07-02 00:00:00,파이오닉스,-,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,Production H/C,Production H/C,결제완료,1,150,150,$,,,,,205815,1372.1,,,,,0.1,205815,20581.5,226396.5,네이버 게시판 자료,
21,구매,기타,2024-07-02 00:00:00,파이오닉스,-,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,운송비,운송비,결제완료,1,124980,124980,원,,,,,124980,1,,,,,0.1,124980,12498,137478,네이버 게시판 자료,
22,구매,원자재,2024-07-03 00:00:00,티렉스아이앤씨,BEUPIDOM-20240703,지아이씨,GIC CSP24-0923-1호,홍콩MTR 333량,LVDS Cable 외,LVDS Cable 외,결제완료,1,,1680000,원,,,,,1680000,1,,,,,0.1,1680000,168000,1848000,네이버 게시판 자료,
23,구매,원자재,2024-07-04 00:00:00,이엔엠테크놀러지,BEUPIDOM-20240704,지아이씨,GIC CSP24-0923-1호,홍콩MTR 333량,congatec BOARD,TC170/i7-6600U 외,결제완료,1,,1626700,원,,,,,1626700,1,,,,2024-06-28 00:00:00,0.1,1626700,162670,1789370,네이버 게시판 자료,
