,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,순,국가,고객,견적번호,RFQ no.,견적일,유효일,Item,구분,수량,가능등급,견적금액(외화),견적금액(KRW),AB 등급,CD등급,수주금액 (전체),수주금액 (2024년),수주금액 (2025년),업체가,비고
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Sub-Amount,,,,,,,,,,0,0,0,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,USD,1200,,,,,,,
,,,,,,,,,,,,Euro,1400,,,,,,,
,,,,,,,,,,,,HKD,140,,,,,,,
,,,,,,,,,,,,SGD,800,,,,,,,
,,,,,,,,,,,,AUD,830,,,,,,,
,,,,,,,,,,,,NZD,850,,,,,,,
,,,,,,,,,,,,CNY,160,,,,,,,
,,,,,,,,,,,,GBP,1700,,,,,,,
,,,,,,,,,,,,JPY,9.2,,,,,,,
