,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,순,국가,고객,견적번호,RFQ no.,견적일,유효일,Item,수량,견적금액(외화),견적금액(KRW),AB 등급,CD등급,수주금액 (전체),수주금액 (2024년),수주금액 (2025년),원가,비고
,1,한국,다원시스,DWE-2024-JUN-11-001,,240611,250331,서울7호선 3차분 TCMS 개조,,,270843306,270843306,,270000000,81000000,189000000,,선급금
,2,한국,다원시스,DWE-2024-AUG-29-001,,240829,250630,4호선 방송편집기 소프트웨어개발,,,156423296,156423296,,140000000,42000000,98000000,,선급금
,3,한국,다원시스,,,240812,240827,7호선3차분TCMS개조관련외주용역,,,349398820,349398820,,,,,,
,4,한국,다원시스,,,241118,241206,고장분석기기고정용RACK시험기,,,118513140,118513140,,,,,,
,5,한국,다원시스,,,241118,241206,4호선210량 소프트웨어 개선비,,,27967374,,27967374,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Sub-Amount,,,,,,,,0,923145936,895178562,,410000000,123000000,287000000,0,
