,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,순,국가,고객,견적번호,RFQ no.,견적일,유효일,PO no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2024년),수주금액 (2025년),목표가,견적가(AB),견적가(CD),제조원가,손익(%),입금 총액,미수금,비고
,1,한국,지아이씨,,,240409,240930,CSP24-0409-1,240409,240930,,"PAB, EID, PSR, ETND, EDD 생산",,423083700,423083700,,423083700,423083700,,,,423083700,0,
,2,한국,지아이씨,,,240409,240412,CSP24-0409-2,240409,240412,1,"MOP 수리(17031, R1C001388)",1,270000,270000,,270000,270000,,,,270000,0,
,,,,,,,,,,,2,"MOP 수리(19067, R1C001388)",1,900000,900000,,900000,900000,,,,900000,0,
,,,,,,,,,,,3,"MSR  HUB 수리(16006, R1B002192)",1,1386000,1386000,,1386000,1386000,,,,1386000,0,
,,,,,,,,,,,4,"MSR  HUB 수리(19002, R1B002192)",1,1386000,1386000,,1386000,1386000,,,,1386000,0,
,3,한국,지아이씨,,,240524,250227,CSP24-0524-1,240524,250227,,"MOP, MSR, CTM 생산",,350710750,105213225,245497524.99999997,350710750,350710750,,,,105213225,0,
,4,한국,지아이씨,,,240524,240726,CSP24-0524-2,240524,240726,1,PSR-HUB Board,82,35260000,35260000,,35260000,35260000,,,,35260000,0,
,,,,,,,,,,,2,PSR-VOIP Board,82,27060000,27060000,,27060000,27060000,,,,27060000,0,
,,,,,,,,,,,3,PSR-PA-AMP1 Board,82,27060000,27060000,,27060000,27060000,,,,27060000,0,
,,,,,,,,,,,4,PSR-PA-AMP2 Board,82,15580000,15580000,,15580000,15580000,,,,15580000,0,
,,,,,,,,,,,5,PSR-BPB,82,27060000,27060000,,27060000,27060000,,,,27060000,0,
,,,,,,,,,,,6,PAB-CONTROL Board,51,16830000,16830000,,16830000,16830000,,,,16830000,0,
,,,,,,,,,,,7,EID-CONTROL Board,41,22550000,22550000,,22550000,22550000,,,,22550000,0,
,,,,,,,,,,,8,EID-SENSOR Board,41,2050000,2050000,,2050000,2050000,,,,2050000,0,
,,,,,,,,,,,9,EDD-CONTROL Board,21,12180000,12180000,,12180000,12180000,,,,12180000,0,
,,,,,,,,,,,10,ETND-CONTROL Board,21,12180000,12180000,,12180000,12180000,,,,12180000,0,
