,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,순,국가,고객,PO,RFQ no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),청구 (예정) 금액,입금 총액,미수금,비고,대금지불조건
,1,한국,지아이씨,CSP24-0524-1,,240524,250227,,"MOP, MSR, CTM 생산",,245497524.99999997,245497524.99999997,0,0,0,0,"1. (2024년) 계약시 30% (105,213,225 KRW)
2. 제작 후 검사 전 30%
3. 검사 합격 후 납품 시 30%
4. 고객으로부터 물품대금 수령 후 잔금 10%",납품 후 계약조건 관계없이 정산 추진
,2,한국,지아이씨,CSP24-0913-1,,240913,250131,1,MSR NVR,51,13983023.1,13983023.1,0,0,0,0,1. (2024년) 계약 시 선금 70%,
,,,,,,,,2,MSR HUB,51,10164755.4,10164755.4,0,0,0,0,2. 제작하고 검사 후 잔금 30%,
,,,,,,,,3,MSR MTX,51,9341652.299999999,9341652.299999999,0,0,0,0,,
,,,,,,,,4,MSR TCIU HUB,51,7854455.399999999,7854455.399999999,0,0,0,0,,
,,,,,,,,5,MSR TCIU CTL,51,9422642.7,9422642.7,0,0,0,0,,
,,,,,,,,6,MSR PBX,51,4421700,4421700,0,0,0,0,,
,,,,,,,,7,MSR SSD,102,10373400,10373400,0,0,0,0,,
,,,,,,,,8,MSR ETX,51,7264302.3,7264302.3,0,0,0,0,,
,,,,,,,,9,MSR Back Plane,51,4590000,4590000,0,0,0,0,,
,,,,,,,,10,MOP CTL,51,7246837.5,7246837.5,0,0,0,0,,
,,,,,,,,11,MOP LCD,51,6505758.899999999,6505758.899999999,0,0,0,0,,
,,,,,,,,12,CTM CTL,51,14136023.1,14136023.1,0,0,0,0,,
,3,한국,지아이씨,CSP24-0923-1,,240923,241231,2,LCD CONTROL BOARD. FOR MOP.,10,8188800,8188800,0,0,0,0,,
,,,,,,,250430,8,MSR NVR BOARD. FOR MSR.,10,32336800,32336800,0,0,0,0,,
,,,,,,,241231,11,CONTROL BOARD. FOR CTM.,20,45705600,45705600,0,0,0,0,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Sub-Amount,,,,,,,,,437033275.6999999,437033275.6999999,0,0,0,0,,
