,,,,,,,,,,,,
,,,견적가,,,수주가,,,,,,
,순,고객명,전체,AB등급,CD등급,전체,2025년,2026년 이월,수주율(%),제조원가,손익(%),비고
,1,지아이씨,437033275.6999999,437033275.6999999,0,437033275.7,437033275.7,0,1.0000000000000002,,,
,2,김포골드라인,0,0,0,0,0,0,,,,
,3,서울교통공사,0,0,0,0,0,0,,,,
,4,현대로템,9983340,9983340,0,0,0,0,0,,,
,5,실리콘큐브,0,0,0,0,0,0,,,,
,6,무한테크,0,0,0,0,0,0,,,,
,7,다원시스,357000000,357000000,0,287000000,287000000,0,0.803921568627451,,,
,8,티랩,0,0,0,0,0,0,,,,
,9,마루소프트,0,0,0,0,0,0,,,,
,10,신진금고,0,0,0,0,0,0,,,,
,11,인터모빌리티,0,0,0,0,0,0,,,,
,,합계,804016615.6999999,804016615.6999999,0,724033275.7,724033275.7,0,0.9005202897077393,,,
