,,,,,,,,,,,,,,,,,,,,,,,,
,2025년 주식회사 비업시스 영업추진 전략 및 목표 (국내),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,PO or RFQ no.,프로젝트명,국가,일정,,,,,,,,,,,,수주금액,목표가,"견적가
(AB)","견적가
(CD)",제조원가,손익(%),비고
,,,,,,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10,11.0,12.0,,,,,,,
,1,서울교통공사,,7호선 3차분 PIS-CSC 장치 개조,대한민국,,,,,,,,,,,,,,182000000,182000000,,,,첨부 3
,,,,7호선 2차분 PIS-LCD 개조,대한민국,,,,,,,,,,,,,,956800000,,,,,첨부 3
,,,,7호선 TCMS 개조,대한민국,,,,,,,,,,,,,,863000000,,,,,첨부 3
,2,다원시스,,7호선 3차분 TCMS 개조,대한민국,,,,,,,,,,,,,189000000,189000000,189000000,,,,2024년 수주 이월
,,,,4호선 방송편집기 소프트웨어개발,대한민국,,,,,,,,,,,,,98000000,98000000,98000000,,,,2024년 수주 이월
,,,,4호선 방송 소프트웨어,대한민국,,,,,,,,,,,,,,70000000,70000000,,,,
,3,네이버시스템 주식회사,,7호선 2차분 PIS-LCD 수리/교체1,대한민국,,,,,,,,,,,,,,1300000,1300000,,,,첨부 3
,,,,7호선 2차분 PIS-LCD 수리/교체2,대한민국,,,,,,,,,,,,,,294400000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,총계,,,,,,,,,,,,,,,,287000000,2654500000,540300000,0,,,
,,,,,,,,,,,,,,,수주율(%),,,0.10811828969674138,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,USD,1200,,,,
,,,,,,,,,,,,,,,,,,,Euro,1400,,,,
,,,,,,,,,,,,,,,,,,,HKD,140,,,,
,,,,,,,,,,,,,,,,,,,SGD,800,,,,
,,,,,,,,,,,,,,,,,,,AUD,830,,,,
,,,,,,,,,,,,,,,,,,,NZD,850,,,,
,,,,,,,,,,,,,,,,,,,CNY,160,,,,
,,,,,,,,,,,,,,,,,,,GBP,1700,,,,
,,,,,,,,,,,,,,,,,,,JPY,9.2,,,,
