,,,,,,,,,,,,,,,,,,,,,,,,
,2025년 주식회사 비업시스 영업추진 전략 및 목표 (해외),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,PO or RFQ no.,프로젝트명,국가,일정,,,,,,,,,,,,수주금액,목표가,"견적가
(AB)","견적가
(CD)",제조원가,손익(%),비고
,,,,,,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10,11.0,12.0,,,,,,,
,1,지아이씨,CSP24-0524-1,"MOP, MSR, CTM 생산",홍콩,,,,,,,,,,,,,245497525,245497525,245497525,,,,2024년 수주 이월
,,,CSP24-0913-1,MSR NVR,홍콩,,,,,,,,,,,,,105304551,105304551,105304551,,,,2024년 수주 이월
,,,CSP24-0923-1,MSR PWR BOARD. FOR MSR.,홍콩,,,,,,,,,,,,,86231200,86231200,86231200,,,,2024년 수주 이월
,,,,MTRC_Full Test Equipment,홍콩,,,,,,,,,,,,,,140000000,,,,,Attach 1
,,,,Individual Test Equipment,홍콩,,,,,,,,,,,,,,168000000,,,,,Attach 1
,,,,Additional Order,홍콩,,,,,,,,,,,,,,140000000,,,,,
,,,,New Station for KTU,홍콩,,,,,,,,,,,,,,651560000,,,,,Attach 2
,2,현대로템,,EIDS 수리비 및 보수품,홍콩,,,,,,,,,,,,,,9983340,9983340,,,,
,,,,말레이지아 LRV,,,,,,,,,,,,,,,,,,,,
,3,인터모빌리티,,LRV TCMS 개조,인도네시아(자카르타),,,,,,,,,,,,,,210341615,,,,,첨부 4
,,,,LRV PIS 개조,인도네시아(자카르타),,,,,,,,,,,,,,400235945,,,,,첨부 4
,,,,,,,,,,,,,,,,,,,,,,,,
,,총계,,,,,,,,,,,,,,,,437033276,2157154176,447016616,0,,,
,,,,,,,,,,,,,,,수주율(%),,,0.20259714435914292,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,USD,1200,,,,
,,,,,,,,,,,,,,,,,,,Euro,1400,,,,
,,,,,,,,,,,,,,,,,,,HKD,140,,,,
,,,,,,,,,,,,,,,,,,,SGD,800,,,,
,,,,,,,,,,,,,,,,,,,AUD,830,,,,
,,,,,,,,,,,,,,,,,,,NZD,850,,,,
,,,,,,,,,,,,,,,,,,,CNY,160,,,,
,,,,,,,,,,,,,,,,,,,GBP,1700,,,,
,,,,,,,,,,,,,,,,,,,JPY,9.2,,,,
