,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,순,국가,고객,견적번호,RFQ no.,견적일,유효일,PO no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),목표가,견적가(AB),견적가(CD),제조원가,손익(%),입금 총액,비고
,1,한국,지아이씨,,,240524,250227,CSP24-0524-1,240524,250227,,"MOP, MSR, CTM 생산",,245497525,245497525,0,245497524.99999997,245497524.99999997,,,,0,
,2,한국,지아이씨,,,240913,250131,CSP24-0913-1,240913,250131,1,MSR NVR,51,13983023.1,13983023.1,0,13983023.1,13983023.1,,,,0,
,,,,,,,,,,,2,MSR HUB,51,10164755.4,10164755.4,0,10164755.4,10164755.4,,,,0,
,,,,,,,,,,,3,MSR MTX,51,9341652.299999999,9341652.299999999,0,9341652.299999999,9341652.299999999,,,,0,
,,,,,,,,,,,4,MSR TCIU HUB,51,7854455.399999999,7854455.399999999,0,7854455.399999999,7854455.399999999,,,,0,
,,,,,,,,,,,5,MSR TCIU CTL,51,9422642.7,9422642.7,0,9422642.7,9422642.7,,,,0,
,,,,,,,,,,,6,MSR PBX,51,4421700,4421700,0,4421700,4421700,,,,0,
,,,,,,,,,,,7,MSR SSD,102,10373400,10373400,0,10373400,10373400,,,,0,
,,,,,,,,,,,8,MSR ETX,51,7264302.3,7264302.3,0,7264302.3,7264302.3,,,,0,
,,,,,,,,,,,9,MSR Back Plane,51,4590000,4590000,0,4590000,4590000,,,,0,
,,,,,,,,,,,10,MOP CTL,51,7246837.5,7246837.5,0,7246837.5,7246837.5,,,,0,
,,,,,,,,,,,11,MOP LCD,51,6505758.899999999,6505758.899999999,0,6505758.899999999,6505758.899999999,,,,0,
,,,,,,,,,,,12,CTM CTL,51,14136023.1,14136023.1,0,14136023.1,14136023.1,,,,0,
,3,한국,지아이씨,,,240923,241231,CSP24-0923-1,240923,241231,2,LCD CONTROL BOARD. FOR MOP.,10,8188800,8188800,0,8188800,8188800,,,,0,
,,,,,,,250430,,,250430,8,MSR NVR BOARD. FOR MSR.,10,32336800,32336800,0,32336800,32336800,,,,0,
,,,,,,,241231,,,241231,11,CONTROL BOARD. FOR CTM.,20,45705600,45705600,0,45705600,45705600,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Sub-Amount,,,,,,,,,,,,437033275.7,437033275.7,0,437033275.6999999,437033275.6999999,0,0,0,0,
