,,,,,,,,
,순,고객명,전체수주가,2025년 수주가,2026년 수주가,입금 총액,미수금,비고
,1,지아이씨,395235675.6999999,395235675.6999999,0,4813677,0,
,2,김포골드라인,0,0,0,0,0,
,3,서울교통공사,1200000,1200000,0,0,1200000,네이버시스템 법정관리로 아이디넷 수주/미수금 정보 통합
,4,현대로템,9983340,9983340,0,0,0,
,5,실리콘큐브,0,0,0,0,0,
,6,무한테크,0,0,0,0,0,
,7,다원시스,287000000,287000000,0,0,42000000,250306 전자세금계산서 발급
,8,티랩,0,0,0,0,0,
,9,마루소프트,0,0,0,0,0,
,10,신진금고,0,0,0,0,0,
,11,인터모빌리티,0,0,0,0,0,
,12,GMTECH,0,0,0,0,0,
,13,ONsemi,0,0,0,0,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,소계,693419015.6999999,693419015.6999999,0,4813677,43200000,
