,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,순,고객,국가,PO,RFQ no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),청구 (예정) 금액,입금 총액,미수금,비고,대금지불조건
,1,현대로템,홍콩,HRCPO20250226-001,,2025-02-26 00:00:00,2025-03-25 00:00:00,,EIDS 수리비 및 보수품,,9983340,9983340,0,0,0,0,6885,
,2,현대로템,홍콩,HRCPO20250326-001,,2025-03-26 00:00:00,,,"홍콩 SW 및 AP, WIFI 점검 출장",,9900000,9900000,0,0,0,0,US$ 6875.00 / 4월 15일 이내 입금 예정,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,19883340,19883340,0,0,0,0,,
