,,,,,,,,,,,,,
,,,,견적가,,,수주가,,,,,,
,순,고객명,,전체,AB등급,CD등급,전체,2025년,2026년 이월,수주율(%),제조원가,손익(%),비고
,1,지아이씨,,395235675.6999999,395235675.6999999,0,395235675.7,395235675.7,0,1.0000000000000002,,,
,2,서울교통공사,,186300000,0,186300000,1200000,1200000,0,0.00644122383252818,,,
,3,현대로템,,528906340,518689340,10217000,19883340,19883340,0,0.03759330999889319,,,250513 KTU 신역사 방송소프트웨어 업데이트  수정 견적 제출
,4,고구려엔지니어링,,328059000,328059000,0,,,,,,,250521 견적 제출 완료
,5,다원시스,,510623467,287000000,223623467,287000000,287000000,0,0.5620579909618607,,,
,6,GMTECH,,560588000,560588000,0,0,0,0,0,,,
,7,인터모빌리티,,119575000,36585000,82990000,0,0,0,0,,,250516 MAIN CTL. BD 개발 견적 완료
,7-1,기타,김포골드라인SRS,0,0,0,0,0,0,,,,
,7-2,,Onsemi,8000000,0,8000000,0,0,0,0,,,
,7-3,,실리콘큐브,0,0,0,0,0,0,,,,
,7-4,,무한테크,0,0,0,0,0,0,,,,
,7-5,,티랩,0,0,0,0,0,0,,,,
,7-6,,마루소프트,0,0,0,0,0,0,,,,
,7-7,,신진금고,0,0,0,0,0,0,,,,
,7-8,,위플랫,120000000,120000000,0,0,0,0,0,,,
,,,,,,,,,,,,,
,,합계,,2757287482.7,2246157015.7,511130467,703319015.7,703319015.7,0,0.25507641844124784,,,
