,,*. 대금 및 공급 지급완료가 되면 자료가 Update되고 그 다음차 수정시 제외한다.,,,,,,,,,,,,,,,,,,,,,,지불완료
순번,"계약일자
(서명일 기준)",공급업체,견적번호,계약번호,Item no.,품명,수량,"예상납기일 /
업무종료일자(프리랜서)",납기(계약서),"납품일자 /
업무종료일자(프리랜서)",공급금액(US$),공급금액(KRW),지불조건,고객사,고객 PO no.,계약 서명 여부,입고 여부,전자세금계산서 수취 여부,입금 여부,진행상황,비고,서버 경로,,공급완료
127,2025-05-16 00:00:00,세일엔지니어링,,제BEUP LDJ25-0516-1호,,"ANSM, MIC 기구물",1,2025-06-13 00:00:00,발주 후 4주내,,,92000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,,,,3.진행 중,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜세일엔지니어링\241104_GIC CSP24-0524-1호_MOP외2종\제BEUP LDJ25-0516-1호,,
126,2025-05-16 00:00:00,위존,,제BEUP LDJ25-0515-1호,,MOXA 8-Port Ethernet switch ,1,2025-09-05 00:00:00,발주 후 16주내,,,1800000,선금 100%,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,,,,3.진행 중,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\위존\GIC CSP24-0524-1호\제BEUP LDJ25-0515-1호,,
125,2025-05-08 00:00:00,캐드존,,제BEUP LDJ25-0508-1호,,IM-INT 3종 PCB 아트웍 외,1,2025-06-05 00:00:00,발주 후 4주내,,,6582000,납품 후 지급,인터모빌리티,임시-IM-INT-BD,계약 서명확인,,,,3.진행 중,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\캐드존\임시-IM-INT-BD\제BEUP LDJ25-0508-1호,,
124,2025-04-28 00:00:00,파츠맨,,제BEUP LDJ25-0428-1호,,ANEX ANH-S1 외,1,2025-05-26 00:00:00,발주 후 6주내,2025-04-28 00:00:00,,1479800,납품 후 지급,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250428 전자세금계산서,250507 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\제BEUP LDJ25-0428-1호,,
123,2025-04-21 00:00:00,김재현,,제BEUPSYS HSJ25-0418,,방송장치 오디오 테스트 방법 수립,1,2025-05-20 00:00:00,,2025-05-20 00:00:00,,10000000,2025-5-21 (사업소득세 3.3% 공제),㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,업무 완료,전자세금계산서 미수취 / 프리렌서계약,250522 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_김재현\제GIC CSP24-0913-1호_MSR NVR 외 11종\3차,,
122,2025-03-31 00:00:00,김민석,,BEUPSYS_KNK20250331-1,,"MSR, MOP 테스트 및 검수",1,2025-04-18 00:00:00,,2025-04-18 00:00:00,,1400000,2025-5-2 (사업소득세 3.3% 공제),㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,업무 완료,전자세금계산서 미수취 / 프리렌서계약,250507 지급(입금) / 매입증빙 확인,1.지불 완료,사업소득세 3.3% 공제,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_김민석\제GIC CSP24-0913-1호_MSR NVR 외 11종\3차_2504월,,
121,2025-03-27 00:00:00,파츠맨,,제BEUP LDJ25-0327-1호,,35155-0700 외,1,,발주 후 4주내,2025-03-28 00:00:00,,3461900,납품 후 지급,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250328 전자세금계산서,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\제BEUP LDJ25-0327-1호,,
120,2025-03-26 00:00:00,아이리코(I RICCO),,제BEUP LDJ25-0326-1호,,NVR LED 교체 작업 외,1,,발주 후 4주내,2025-03-27 00:00:00,,2665000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250328 전자세금계산서,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\240524_GIC CSP24-0524-1호_MOP외2종생산\제BEUP LDJ25-0326-1호,,
119,2025-03-20 00:00:00,미래로,,제BEUP LDJ25-0320-2호,,MD9582-H 외,1,2025-05-01 00:00:00,발주 후 4주내,2025-03-20 00:00:00,670,993409,납품 후 지급,지엠테크,임시-IDN- 보수품,계약 서명확인,입고 확인,250321 전자세금계산서,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\미래로\임시-IDN- 보수품\제BEUP LDJ25-0320-2호,,
118,2025-03-20 00:00:00,아이닉스,,제BEUP LDJ25-0320-1호,,WAGO 216-244 외,1,2025-05-01 00:00:00,발주 후 6주내,2025-04-16 00:00:00,,576000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250428 전자세금계산서,250507 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이닉스\GIC CSP24-0524-1호_MOP외2종생산\제BEUP LDJ25-0320-1호,,
117,2025-03-19 00:00:00,아이닉스,,제BEUP LDJ25-0319-1호,,"EA-PS-3200-10-C (1output, 200V, 10A)",2,2025-04-16 00:00:00,발주 후 4주내,2025-03-25 00:00:00,,3794000,납품 후 지급,-,임시-홍콩-시험기,계약 서명확인,입고 확인,250331 전자세금계산서,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이닉스\임시-홍콩-시험기\제BEUP LDJ25-0319-1호,,
116,2025-03-14 00:00:00,아이닉스,,제BEUP LDJ25-0314-1호,,033014-E,250,2025-04-11 00:00:00,발주 후 4주내,2025-03-25 00:00:00,,450000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250331 전자세금계산서,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이닉스\GIC CSP24-0524-1호_MOP외2종생산\제BEUP LDJ25-0314-1호,,
115,2025-03-10 00:00:00,㈜세일엔지니어링,,제BEUP LDJ25-0310-1호,,BRT (MOP USB COVER)  외,1,2025-04-07 00:00:00,발주 후 4주내,2025-03-11 00:00:00,,500000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250313 전자세금계산서,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜세일엔지니어링\241104_GIC CSP24-0524-1호_MOP외2종\제BEUP LDJ25-0310-1호,,
114,2025-03-05 00:00:00,㈜텍시트코리아,,제BEUP LDJ25-0305-1호,,WM-DS-ZH-064x025-YW,1000,2025-04-02 00:00:00,발주 후 4주내,2025-03-06 00:00:00,,250000,물품 납품전 지급,㈜지아이씨,GIC CSP24-0409-1호,계약 서명확인,입고 확인,250306 전자세금계산서,250307 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\텍시트코리아\제GIC CSP24-0409-1호\제BEUP LDJ25-0305-1호,,
113,2025-03-04 00:00:00,고은효,,BEUPSYS_KNK25030402,,"MSR, MOP 테스트 및 검수",1,2025-03-14 00:00:00,,2025-03-14 00:00:00,,800000,2025-4-4 (사업소득세 3.3% 공제),㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,업무 완료,전자세금계산서 미수취 / 프리렌서계약,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_고은효\제GIC CSP24-0913-1호_MSR NVR 외 11종\1차_2503월,,
