,,,,,,,,,,,,,
,,,,견적가,,,수주가,,,,,,
,순,고객명,,전체,AB등급,CD등급,전체,2025년,2026년 이월,수주율(%),제조원가,손익(%),비고
,1,지아이씨,,395235675.6999999,395235675.6999999,0,395235675.7,395235675.7,0,1.0000000000000002,,,250523 MTR 요청에 따라 상세사항 검토 중(~5/29)
,2,서울교통공사,,186300000,0,186300000,1200000,1200000,0,0.00644122383252818,,,
,3,현대로템,,528906340,518689340,10217000,19883340,19883340,0,0.03759330999889319,,,"250605 [KTU 신역사] 가격 조정 요청에 5% 수준 가능 회신(이세한 미주영업팀장)
250527 [9호선 열차번호표시기 SW] 가격조정 요청에 15% 상한 회신"
,4,고구려엔지니어링,,328059000,0,328059000,,,,,,,250521 견적 제출 완료 / 250522 수정견적 요청에 무대응
,5,다원시스,,510623467,287000000,223623467,287000000,287000000,0,0.5620579909618607,,,
,6,GMTECH,,560588000,560588000,0,0,0,0,0,,,"250527 1차 5개 품목 재견적 회신(\25,761,000)"
,7,인터모빌리티,,119575000,36585000,82990000,0,0,0,0,,,250523 MAIN CTL. BD 업무진행 관련 이메일 수신
,7-1,기타,김포골드라인SRS,0,0,0,0,0,0,,,,6월 5일 1차 협의 시 이더넷 스위치 변경(우선 1개 편성 4EA) 검토 요청
,7-2,,Onsemi,8000000,0,8000000,0,0,0,0,,,
,7-3,,실리콘큐브,0,0,0,0,0,0,,,,
,7-4,,무한테크,0,0,0,0,0,0,,,,
,7-5,,티랩,0,0,0,0,0,0,,,,
,7-6,,마루소프트,0,0,0,0,0,0,,,,
,7-7,,신진금고,0,0,0,0,0,0,,,,
,7-8,,위플랫,120000000,120000000,0,0,0,0,0,,,
,,,,,,,,,,,,,
,,합계,,2757287482.7,1918098015.6999998,839189467,703319015.7,703319015.7,0,0.25507641844124784,,,
