,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,PO,RFQ no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),청구 (예정) 금액,입금 총액,미수금,비고,대금지불조건,,
,1,지아이씨,홍콩,CSP24-0524-1,,2024-05-24 00:00:00,2025-05-27 00:00:00,,"MOP, MSR, CTM 생산",,245497524.99999997,245497524.99999997,0,110026902,110026902,0,"1. (2024년) 계약시 30% (105,213,225 KRW)
2. (수금완료) 제작 후 검사 전 30% 
3. 검사 합격 후 납품 시 30%
4. 고객으로부터 물품대금 수령 후 잔금 10%",납품 후 계약조건 관계없이 정산 추진,"250414 KRW 105,213,225 전자세금계산서
중도금 30%","250108 KRW 4,813,677 전자세금계산서
MOP 1EA, MSR 1EA, CTM 1EA"
,2,지아이씨,홍콩,CSP24-0913-1,,2024-09-13 00:00:00,2025-01-31 00:00:00,1,MSR NVR,51,13983023.1,13983023.1,0,0,0,0,1. (2024년) 계약 시 선금 70%,,,
,,,,,,,,2,MSR HUB,51,10164755.4,10164755.4,0,0,0,0,2. 제작하고 검사 후 잔금 30%,,,
,,,,,,,,3,MSR MTX,51,9341652.299999999,9341652.299999999,0,0,0,0,,,,
,,,,,,,,4,MSR TCIU HUB,51,7854455.399999999,7854455.399999999,0,0,0,0,,,,
,,,,,,,,5,MSR TCIU CTL,51,9422642.7,9422642.7,0,0,0,0,,,,
,,,,,,,,6,MSR PBX,51,4421700,4421700,0,0,0,0,,,,
,,,,,,,,7,MSR SSD,102,10373400,10373400,0,0,0,0,,,,
,,,,,,,,8,MSR ETX,51,7264302.3,7264302.3,0,0,0,0,,,,
,,,,,,,,9,MSR Back Plane,51,4590000,4590000,0,0,0,0,,,,
,,,,,,,,10,MOP CTL,51,7246837.5,7246837.5,0,0,0,0,,,,
,,,,,,,,11,MOP LCD,51,6505758.899999999,6505758.899999999,0,0,0,0,,,,
,,,,,,,,12,CTM CTL,51,14136023.1,14136023.1,0,0,0,0,,,,
,3,지아이씨,홍콩,CSP24-0923-1,,2024-09-23 00:00:00,2024-12-31 00:00:00,2,LCD CONTROL BOARD. FOR MOP.,10,8188800,8188800,0,8188800,8188800,0,,,계약 종료 / 25년 수주금액 입금 완료,"250324 KRW 44,433,600 전자세금계산서"
,,,,,,,2025-04-30 00:00:00,8,MSR NVR BOARD. FOR MSR.,10,12435200,12435200,0,12435200,12435200,0,,,,
,,,,,,,2024-12-31 00:00:00,11,CONTROL BOARD. FOR CTM.,20,23809600,23809600,0,23809600,23809600,0,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,395235675.6999999,395235675.6999999,0,154460502,154460502,0,,,,
