,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,견적번호,RFQ no.,견적일,유효일,PO no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),목표가,견적가(AB),견적가(CD),제조원가,손익(%),입금 총액,비고
,1,현대로템,홍콩,20240225-1,,2025-02-05 00:00:00,2025-02-20 00:00:00,HRCPO20250226-001,2025-02-26 00:00:00,2025-03-25 00:00:00,,EIDS 수리비 및 보수품,,9983340,9983340,0,9983340,9983340,,,,,6885
,2,현대로템,말레이시아,2025041501,,2025-04-15 00:00:00,2025-04-30 00:00:00,,,,,말레이시아 예비품,,,,,188500000,188500000,,,,,LED 품목 2종 포함 20250415 재견적
,3,현대로템,홍콩,20250325-1,,2025-03-25 00:00:00,2025-04-09 00:00:00,HRCPO20250326-001,2025-03-26 00:00:00,,,"홍콩 SW 및 AP, WIFI 점검 출장",,9900000,9900000,0,9900000,9900000,,,,,6875
,4,현대로템,홍콩,2025040801,,2025-05-13 00:00:00,2025-05-28 00:00:00,,,,,"신역사 KTU 추가
방송소프트웨어 업데이트",,,,,310306000,310306000,,,,,"250513 수정 견적서 제출 완료 /
MTR에서 로템과 PAPIS 포함 사업전체 계약 요망"
,5,현대로템,대한민국,HSJ20250425-01,,2025-04-25 00:00:00,2025-05-10 00:00:00,e-mail,2025-07-02 00:00:00,,,9호선열차번호표시기SW업데이트,,8684450,8684450,,10217000,8684450,,,,,"250702 e-mail로 PO 대체 /
업무 종료(8월 중 예상) 후 세금계산서 발행"
,6,현대로템,카자흐스탄,,,,,,,,,알마티 전동차 28량 방송장치 대체품,,,,,,,,,,,
,7,현대로템,인도네시아,,,,,,,,,자카르타 경전철 TCMS 및 방송장치 보드류 예비품,,,,,,,,,,,
,8,현대로템,튀르키예,,,,,,,,,예니카프 전동차 68량 CCTV,,,,,,,,,,,
,9,현대로템,튀르키예,,,,,,,,,예니카프 전동차 68량 스피커 및 노이즈 센서,,,,,,,,,,,
,10,현대로템,튀르키예,,,,,,,,,마르마라이 전동차 OPERATION PANEL,,,,,,,,,,,
,11,현대로템,튀르키예,,,,,,,,,예니카프 전동차 68량 보드,,,,,,,,,,,
,12,현대로템,튀르키예,,,,,,,,,마르마라이 440량 CCTV,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,28567790,28567790,0,528906340,527373790,0,0,0,0,
