,,,,,,,,,,,,,
,,,,견적가,,,수주가,,,,,,
,순,고객명,,전체,AB등급,CD등급,전체,2025년,2026년 이월,수주율(%),제조원가,손익(%),비고
,1,지아이씨,,395235675.6999999,395235675.6999999,0,395235675.7,395235675.7,0,1.0000000000000002,,,
,2,현대로템,,527373790,527373790,0,28567790,28567790,0,0.054169908595571276,,,"250605 [KTU 신역사] 가격 조정 요청에 5% 수준 가능 회신(이세한 미주영업팀장)
250702 [9호선 열차번호표시기 SW] e-mail로 PO 대체 /
업무 종료(8월 중 예상) 후 세금계산서 발행"
,3,인터모빌리티,,119575000,36585000,82990000,36585000,36585000,0,0.3059586033869956,,,250702 e-mail로 PO 대체 / 7월 말 세금계산서 발행
,4,다원시스,,510623467,287000000,223623467,287000000,287000000,0,0.5620579909618607,,,
,5,서울교통공사,,186300000,0,186300000,1200000,1200000,0,0.00644122383252818,,,
,6,고구려엔지니어링,,328059000,0,328059000,,,,,,,250521 견적 제출 완료 / 250522 수정견적 요청에 무대응
,7,GMTECH,,560588000,0,560588000,0,0,0,0,,,
,8-1,기타,김포골드라인SRS,0,0,0,0,0,0,,,,
,8-2,,Onsemi,8000000,0,8000000,0,0,0,0,,,
,8-3,,실리콘큐브,0,0,0,0,0,0,,,,
,8-4,,무한테크,0,0,0,0,0,0,,,,
,8-5,,티랩,0,0,0,0,0,0,,,,
,8-6,,마루소프트,0,0,0,0,0,0,,,,
,8-7,,신진금고,0,0,0,0,0,0,,,,
,8-8,,위플랫,120000000,0,120000000,0,0,0,0,,,
,,,,,,,,,,,,,
,,합계,,2755754932.7,1246194465.6999998,1509560467,748588465.7,748588465.7,0,0.2716455141991009,,,
