,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,견적번호,RFQ no.,견적일,유효일,PO no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),목표가,견적가(AB),견적가(CD),제조원가,손익(%),입금 총액,비고
,1,지아이씨,홍콩,,,2024-05-24 00:00:00,2025-05-27 00:00:00,CSP24-0524-1,2024-05-24 00:00:00,2025-05-27 00:00:00,,"MOP, MSR, CTM 생산",,245497525,245497525,0,245497524.99999997,245497524.99999997,,,,110026902,
,2,지아이씨,홍콩,,,2024-09-13 00:00:00,2025-01-31 00:00:00,CSP24-0913-1,2024-09-13 00:00:00,2025-01-31 00:00:00,1,MSR NVR,51,13983023.1,13983023.1,0,13983023.1,13983023.1,,,,13983023.1,"2024년 수주 이월 / 250808 대금 30%(\105,304,551) 입금 / 프로젝트 종료"
,,,,,,,,,,,2,MSR HUB,51,10164755.4,10164755.4,0,10164755.4,10164755.4,,,,10164755.4,
,,,,,,,,,,,3,MSR MTX,51,9341652.299999999,9341652.299999999,0,9341652.299999999,9341652.299999999,,,,9341652.299999999,
,,,,,,,,,,,4,MSR TCIU HUB,51,7854455.399999999,7854455.399999999,0,7854455.399999999,7854455.399999999,,,,7854455.399999999,
,,,,,,,,,,,5,MSR TCIU CTL,51,9422642.7,9422642.7,0,9422642.7,9422642.7,,,,9422642.7,
,,,,,,,,,,,6,MSR PBX,51,4421700,4421700,0,4421700,4421700,,,,4421700,
,,,,,,,,,,,7,MSR SSD,102,10373400,10373400,0,10373400,10373400,,,,10373400,
,,,,,,,,,,,8,MSR ETX,51,7264302.3,7264302.3,0,7264302.3,7264302.3,,,,7264302.3,
,,,,,,,,,,,9,MSR Back Plane,51,4590000,4590000,0,4590000,4590000,,,,4590000,
,,,,,,,,,,,10,MOP CTL,51,7246837.5,7246837.5,0,7246837.5,7246837.5,,,,7246837.5,
,,,,,,,,,,,11,MOP LCD,51,6505758.899999999,6505758.899999999,0,6505758.899999999,6505758.899999999,,,,6505758.899999999,
,,,,,,,,,,,12,CTM CTL,51,14136023.1,14136023.1,0,14136023.1,14136023.1,,,,14136023.1,
,3,지아이씨,홍콩,,,2024-09-23 00:00:00,2024-12-31 00:00:00,CSP24-0923-1,2024-09-23 00:00:00,2024-12-31 00:00:00,2,LCD CONTROL BOARD. FOR MOP.,10,8188800,8188800,0,8188800,8188800,,,,8188800,2024년 수주 이월 / 프로젝트 종료
,,,,,,,2025-04-30 00:00:00,,,2025-04-30 00:00:00,8,MSR NVR BOARD. FOR MSR.,10,12435200,12435200,0,12435200,12435200,,,,12435200,
,,,,,,,2024-12-31 00:00:00,,,2024-12-31 00:00:00,11,CONTROL BOARD. FOR CTM.,20,23809600,23809600,0,23809600,23809600,,,,23809600,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,395235675.7,395235675.7,0,395235675.6999999,395235675.6999999,0,0,0,259765052.70000002,
