,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,PO,RFQ no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),청구 (예정) 금액,입금 총액,미수금,비고,대금지불조건,,
,1,인터모빌리티,한국(현대자동차),20250711001,,2025-07-11 00:00:00,2025-08-15 00:00:00,,통전 검사기 HW 개발,,36585000,36585000,0,36585000,36585000,0,250801 대금 지급 완료,,계약 종료 / 25년 수주금액 입금 완료,"250731 KRW 36,585,000 전자세금계산서"
,,동화에프에이,한국(현대자동차),,,2025-08-07 00:00:00,2025-08-15 00:00:00,,통합통전검사기 개발,,9090909,9090909,0,9090909,9090909,0,PO 20250711001의 재료비 보전 성격,,계약 종료 / 25년 수주금액 입금 완료,"250808 KRW 9,090,909 전자세금계산서"
,,,한국(POSCO),20250728001,,2025-07-28 00:00:00,2025-08-31 00:00:00,,POSCO TCMS 관련 통신보드 HW 개발,,26161000,26161000,0,7848300,7848300,0,250801 선금(30%) 지급 완료,,"250728 KRW 7,848,300 전자세금계산서 선금 30%",
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,71836909,71836909,0,53524209,53524209,0,,,,
