,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,견적번호,RFQ no.,견적일,유효일,PO no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),목표가,견적가(AB),견적가(CD),제조원가,손익(%),입금 총액,비고
,1,김포골드라인SRS,한국,,,,,,,,,김포골드라인 1차분 / 2차분,,,,,,,,,,,
,2,Onsemi,한국,,,,,,,,,게이트 스위치 개발,,,,,8000000,,8000000,,,,구두 견적 통보
,3,실리콘큐브,한국,,,,,,,,,,,,,,,,,,,,
,4,무한테크,한국,,,,,,,,,,,,,,,,,,,,
,5,티랩,한국,,,,,,,,,,,,,,,,,,,,
,6,마루소프트,한국,,,,,,,,,,,,,,,,,,,,
,7,신진금고,한국,,,,,,,,,,,,,,,,,,,,
,8,위플랫,한국,,,2025-05-09 00:00:00,,,,,,GPR 시스템 개발,,,,,120000000,,120000000,,,,위플랫에서 대체 참여과제 탐색 중
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,128000000,0,128000000,0,0,0,
