,,,,,,,,,,,,,
,,,,견적가,,,수주가,,,,,,
,순,고객명,,전체,AB등급,CD등급,전체,2025년,2026년 이월,수주율(%),제조원가,손익(%),비고
,1,지아이씨,,395235675.6999999,395235675.6999999,0,395235675.7,395235675.7,0,1.0000000000000002,,,
,2,현대로템,,1566616490,655984040,910632450,314674040,314674040,0,0.2008622033590365,,,"250930 [KTU 신역사] PO 수신 / 251013 사명 변경 관련 서류 제출
250930 [9호선 열차번호표시기] 미대응 예정"
,3,인터모빌리티,,71836909,71836909,0,71836909,71836909,0,1,,,
,4,다원시스,,510623467,287000000,223623467,287000000,287000000,0,0.5620579909618607,,,
,5,서울교통공사,,261187000,2807000,258380000,1200000,1200000,0,0.004594409369532175,,,
,6,고구려엔지니어링,,328059000,0,328059000,,,,,,,
,7,GMTECH,,30791000,30791000,0,30791000,30791000,0,1,,,"251014 선수금 (20%, \ 6,158,200) 세금계산서 발행 예정"
,8-1,기타,김포골드라인SRS,0,0,0,0,0,0,,,,
,8-2,,Onsemi,8000000,0,8000000,0,0,0,0,,,
,8-3,,실리콘큐브,0,0,0,0,0,0,,,,
,8-4,,무한테크,0,0,0,0,0,0,,,,
,8-5,,티랩,0,0,0,0,0,0,,,,
,8-6,,마루소프트,0,0,0,0,0,0,,,,
,8-7,,신진금고,0,0,0,0,0,0,,,,
,8-8,,위플랫,120000000,0,120000000,0,0,0,0,,,
,,,,,,,,,,,,,
,,합계,,3292349541.7,1443654624.6999998,1848694917,1100737624.7,1100737624.7,0,0.33433194463660615,,,
