,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,순,고객,국가,PO,RFQ no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),청구 (예정) 금액,입금 총액,미수금,비고,대금지불조건,
,1,현대로템,홍콩,HRCPO20250226-001,,2025-02-26 00:00:00,2025-03-25 00:00:00,,EIDS 수리비 및 보수품,,9983340,9983340,0,9983340,9983340,0,6885,,계약 종료 / 25년 수주금액 입금 완료
,2,현대로템,홍콩,HRCPO20250326-001,,2025-03-26 00:00:00,,,"홍콩 SW 및 AP, WIFI 점검 출장",,9900000,9900000,0,9900000,9900000,0,"6875 / 환전 수수료 제외 실 입금 \9,746,387",,계약 종료 / 25년 수주금액 입금 완료
,3,현대로템,홍콩,,,2025-09-30 00:00:00,,,"신역사 KTU 추가
방송소프트웨어 업데이트",,294790700,0,294790700,0,0,0,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,314674040,19883340,294790700,19883340,19883340,0,,,
