,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,견적번호,RFQ no.,견적일,유효일,PO no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),목표가,견적가(AB),견적가(CD),제조원가,손익(%),입금 총액,미수금,비고
,1,다원시스,한국,,,2024-06-11 00:00:00,2025-03-31 00:00:00,DWE-2024-JUN-11-001,2024-06-11 00:00:00,2025-03-31 00:00:00,,서울7호선 3차분 TCMS 개조,,81000000,81000000,189000000,189000000,,,,81000000,0,"2024년 수주 이월 /
250910 중도금 30%(\81,000,000) 입금 완료
251204 계약 해지 (잔여 수주금액 제외)"
,2,다원시스,한국,202406241,,2024-08-29 00:00:00,2025-06-30 00:00:00,DWE-2024-AUG-29-001,2024-08-29 00:00:00,2025-06-30 00:00:00,,4호선 방송편집기 소프트웨어개발,,98000000,42000000,98000000,98000000,,,,42000000,0,2024년 수주 이월
,3,다원시스,한국,2025022701,,2025-02-27 00:00:00,2025-03-14 00:00:00,,,,,4호선210량 소프트웨어 1년 개선비 + 기존 업데이트 비용,,,,70000000,,40000000,,,,,20250704 계약 미체결 확정
,4,다원시스,한국,20250210-1,,2025-02-10 00:00:00,2025-02-25 00:00:00,,,,,코레일 EMU-150 TCMS 기반 통합편집기,,,,210731048,,183623467,,,,,"20250123-1 (\210,731,048)에 대한 수정견적"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,179000000,123000000,567731048,287000000,223623467,0,0,123000000,,
