,,,,,,,,,,,,
,,,,견적가,,,수주가,,,,,
,순,고객명,,전체,AB등급,CD등급,전체,2025년,수주율(%),제조원가,손익(%),비고
,1,지아이씨,,395235675.6999999,395235675.6999999,0,395235675.7,395235675.7,1.0000000000000002,,,
,2,현대로템,,3275099490,314674040,2960425450,314674040,19883340,0.09608075753448332,,,
,3,인터모빌리티,,71836909,71836909,0,71836909,53524209,1,,,
,4,다원시스,,510623467,287000000,223623467,179000000,123000000,0.35055184802150896,,,2025년 12월 4일 [7호선 3차분 TCMS 개조] 계약 해지 (잔여 수주금액 제외)
,5,서울교통공사,,259887000,2807000,257080000,2807000,2807000,0.010800848060888001,,,네이버시스템 법정관리로 통합하였던 아이디넷 수주 정보 삭제
,6,고구려엔지니어링,,328059000,0,328059000,,,,,,
,7,GMTECH,,30791000,30791000,0,30791000,6158200,1,,,
,8-1,기타,김포골드라인SRS,0,0,0,0,0,,,,
,8-2,,Onsemi,8000000,0,8000000,0,0,0,,,
,8-3,,실리콘큐브,0,0,0,0,0,,,,
,8-4,,무한테크,0,0,0,0,0,,,,
,8-5,,티랩,0,0,0,0,0,,,,
,8-6,,마루소프트,0,0,0,0,0,,,,
,8-7,,신진금고,0,0,0,0,0,,,,
,8-8,,위플랫,120000000,0,120000000,0,0,0,,,
,,,,,,,,,,,,
,,합계,,4999532541.7,1102344624.6999998,3897187917,994344624.7,600608424.7,0.19888751926432932,,,
