,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,순,고객,국가,PO,RFQ no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),청구 (예정) 금액,입금 총액,미수금,비고,대금지불조건
,1,김포골드라인,한국,,,,,,,,0,0,0,0,0,0,,
,2,고구려엔지니어링,한국,,,,,,,,0,0,0,0,0,0,,
,3,실리콘큐브,한국,,,,,,,,0,0,0,0,0,0,,
,4,무한테크,한국,,,,,,,,0,0,0,0,0,0,,
,5,티랩,한국,,,,,,,,0,0,0,0,0,0,,
,6,마루소프트,한국,,,,,,,,0,0,0,0,0,0,,
,7,신진금고,한국,,,,,,,,0,0,0,0,0,0,,
,8,위플랫,한국,,,,,,,,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,0,0,0,0,,
