,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,견적번호,RFQ no.,견적일,유효일,PO no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2026년),수주금액 (2027년),목표가,견적가(AB),견적가(CD),제조원가,손익(%),입금 총액,비고
,1,현대로템,말레이시아,2025041501,,2025-04-15 00:00:00,2025-04-30 00:00:00,,,,,말레이시아 예비품,,,,,188500000,,188500000,,,,견적기한 만료 / 재견적 필요
,2,현대로템,홍콩,HSJ20250521-02_rev.3,,2025-09-10 00:00:00,2025-09-30 00:00:00,,,,,"신역사 KTU 추가
방송소프트웨어 업데이트",,294790700,294790700,,294790700,294790700,,,,0,"2025년 수주 이월 / 
251231 전자계약 체결(계약일 : PO 발행일 (250930) 소급 적용)"
,3,현대로템,튀르키예,,,,,,,,,[터키 예니카프 68량]르키예 이스탄불 예니카프 예비품,,,,,,,,,,,미래일 및 인터콘과 제작 관련 협의 검토
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,294790700,294790700,0,483290700,294790700,188500000,0,0,0,
