,홍콩 SCL EIDS CABLE ASS'Y,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pin map,,,,,,,,,,,,,,,
,Connector,Pin,Pin No.,,Singal Name,CABLE,,,Length,Singal Name,Pin No.,,Pin,Connector,,
,"HARTING(통신)
21 03 8822405",09 67 000 5476,1,,,HUBER+SUHNER RADOX RAILCAT CAT5e / 4x22AWG XM S RW E,,,700+300mm,4 / TX+,4,,"Molex
5103,22-28 AWG","Main-PCB(J11)
MOLEX
35155-0400",,
,,,3,,,HUBER+SUHNER RADOX RAILCAT CAT5e / 4x22AWG XM S RW E,,,700+300mm,3 / TX-,3,,,,,
,,,2,,,HUBER+SUHNER RADOX RAILCAT CAT5e / 4x22AWG XM S RW E,,,700+300mm,2 / RX+,2,,,,,
,,,4,,,HUBER+SUHNER RADOX RAILCAT CAT5e / 4x22AWG XM S RW E,,,700+300mm,1 / RX-,1,,,,,
,,,,,,,,,,,,,,,,
,"WAGO(전원)
770-213",-,L,,L/DC 110V ,100G0111-1.0/RAYCHEM,,,700+300mm,1 / DC 110V,1,,"YEONHO
YT396J","POWER-PCB(CON1)
YEONHO
YH396-05V",,
,,,GND,,,-,,,-,,,,,,,
,,,N,,N/DC GND ,100G0111-1.0/RAYCHEM,,,700+300mm,3 / DC GND,3,,,,,
,,,,,,,,,,,,,,,,
,"POWER-PCB(CON2)
MOLEX
0022011052(5051-05)","MOLEX
5159,22-28 AWG",1,,1 / 12V+,100G0111-0.5/RAYCHEM,,,250mm,1 / 12V+,1,,"Molex 
5556,18-24 AWG","Main-PCB(J7)
Molex
0039012045",,
,,,2,,2 / 12V+,-,,,,,,,,,,
,,,3,,3 / GND,100G0111-0.5/RAYCHEM,,,250mm,3 / GND,3,,,,,
,,,4,,4 / GND,100G0111-0.5/RAYCHEM,,,250mm,4 / GND,4,,,,,
,,,5,,5 / RST,100G0111-0.5/RAYCHEM,,,250mm,2 / RTS,2,,,,,
,,,,,,,,,,,,,,,,
,"MOLEX(센서)
35155-0500","Molex
5103,22-28 AWG",1,,1 / 3.3V,100G0111-0.5/RAYCHEM,,,500mm,1 / 3.3V,1,,"Molex
5103,22-28 AWG","Main-PCB(J22)
MOLEX
35155-0500",,
,,,2,,2 / GND,100G0111-0.5/RAYCHEM,,,500mm,2 / GND,2,,,,,
,,,3,,3 / I2C SDA,100G0111-0.5/RAYCHEM,,,500mm,3 / I2C SDA,3,,,,,
,,,4,,4 / I2C SDC,100G0111-0.5/RAYCHEM,,,500mm,4 / I2C SDC,4,,,,,
,,,5,,5 / INT#,100G0111-0.5/RAYCHEM,,,500mm,5 / INT#,5,,,,,
,,,,,,,,,,,,,,,,
,"인버터 
케이블
(시중품 한쪽만 Molex로 변경)",-,1,,1 / 12V,,,,250mm,,1,,"Molex
5103,22-28 AWG","Main-PCB(J23)
MOLEX
35155-0600",,
,,,2,,2 / 12V,,,,250mm,,2,,,,,
,,,3,,3 / ON,,,,250mm,,3,,,,,
,,,4,,4 / Bright,,,,250mm,,4,,,,,
,,,5,,5 / GND,,,,250mm,,3,,,,,
,,,6,,6 / GND,,,,250mm,,5,,,,,
,,,,,,,,,,,,,,,,
,Diagram & Label,,,,,,,,,,,,,,,
,,,"HARTING(통신)
21 03 8822405",,,,Wire mesh,,,,,"Main-PCB(J11)
MOLEX
35155-0400",,,,
,,,,1,0,,,,,4 / TX+,4,,,,,
,,,,3,0,,,,,3 / TX-,3,,,,,
,,,,2,0,,,,,2 / RX+,2,,,,,
,,,,4,0,,,,,1 / RX-,1,,,,,
,,,,,,,,,,,,,,,,
,,,,,700+300mm,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"WAGO(전원)
770-213",,,,Wire mesh,,,,,"POWER-PCB(CON1)
YEONHO
YH396-05V",,,,
,,,,L,L/DC 110V ,,,,,1 / DC 110V,1,,,,,
,,,,,,,,,,,,,,,,
,,,,N,N/DC GND ,,,,,3 / DC GND,3,,,,,
,,,,,,,,,,,,,,,,
,,,,,700+300mm,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"POWER-PCB(CON2)
MOLEX
0022011052(5051-05)",,,,,,,,,"Main-PCB(J7)
Molex
0039012045",,,,
,,,,1,1 / 12V+,,,,,1 / 12V+,1,,,,,
,,,,2,-,,,,,-,,,,,,
,,,,3,3 / GND,,,,,3 / GND,3,,,,,
,,,,4,4 / GND,,,,,4 / GND,4,,,,,
,,,,5,5 / RST,,,,,2 / RTS,2,,,,,
,,,,,,,,,,,,,,,,
,,,,,250mm,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"MOLEX(센서)
35155-0500",,,,,,,,,"Main-PCB(J22)
MOLEX
35155-0500",,,,
,,,,1,1 / 3.3V,,,,,1 / 3.3V,1,,,,,
,,,,2,2 / GND,,,,,2 / GND,,,,,,
,,,,3,3 / I2C SDA,,,,,3 / I2C SDA,3,,,,,
,,,,4,4 / I2C SDC,,,,,4 / I2C SDC,4,,,,,
,,,,5,5 / INT#,,,,,5 / INT#,2,,,,,
,,,,,,,,,,,,,,,,
,,,,,500mm,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"인버터 
케이블
(시중품 한쪽만 Molex로 변경)",,,,,,,,,"Main-PCB(J23)
MOLEX
35155-0600",,,,
,,,,1,,,,,,,1,,,,,
,,,,2,,,,,,,2,,,,,
,,,,3,,,,,,,3,,,,,
,,,,4,,,,,,,4,,,,,
,,,,5,,,,,,,5,,,,,
,,,,6,,,,,,,6,,,,,
,,,,,,,,,,,,,,,,
,,,,,250mm,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Part list,,,,,,,,,,,,,,,
,No.,P/N,Type,,Description,,,,Qty.,Maker,Maker P/N,,,REMARK,,
,1,-,CONN_HOUSING (2.5mm),,Harting M12 PFT Female 4-pole D-coded,,,,1,HARTING,21 03 8822405,,,Twisted pair,,
,1,-,CONTACT_PIN (2.5mm),,Harting M12 PFT Female 4-pole D-coded,,,,4,HARTING,09 67 000 5476,,,,,
,2,-,CONN_HOUSING (2.5mm),,,,,,1,Molex,35155-0400,,,,,
,2,-,CONTACT_PIN (2.5mm),,,,,,20,Molex,"5103,22-28 AWG",,,,,
,3,-,CONN_HOUSING (2.5mm),,,,,,1,WAGO,770-213,,,,,
,4,-,CONN_HOUSING (2.5mm),,,,,,1,YEONHO,YH396-05V,,,,,
,4,-,CONTACT_PIN (2.5mm),,,,,,2,YEONHO,YT396J,,,,,
,5,-,CONN_HOUSING (2.5mm),,,,,,1,Molex,0022011052,,,,,
,5,-,CONN_HOUSING (2.5mm),,,,,,4,Molex,"5159,22-28 AWG",,,,,
,6,-,CONTACT_PIN (2.5mm),,,,,,1,Molex,39012045,,,,,
,8,-,CONN_HOUSING (2.5mm),,,,,,4,Molex,"5556,18-24 AWG",,,,,
,7,-,CONN_HOUSING (2.5mm),,,,,,2,Molex,35155-0500,,,,,
,8,-,CONN_HOUSING (2.5mm),,,,,,1,Molex,35155-04,,,,,
,9,-,CONTACT_PIN (2.5mm),,,,,,1,Molex,35155-0600,,,,,
,Total,,,,,,,,22,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Revision history,,,,,,,,,,,,,,,
,No.,Date,Detail of revision,,,,,,REMARK,,,,,,,
,1,2024-07-13 00:00:00,최초작성,,,,,,,,,,,,,
,2,2024-07-24 00:00:00,전원 케이블 변경,,,,,,0.5 -> 1.0,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
