,홍콩 SCL PSR AMP CABLE ASS'Y,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pin map,,,,,,,,,,,,,,,
,Connector,Pin,Pin No.,,Singal Name,CABLE,,,Length,Singal Name,Pin No.,,Pin,Connector,,
,"
UTG01412S/SOURIAU",RC16M23K/SOURIAU,A,,A/AUDIO1+,100G0111-0.5/RAYCHEM,,,100mm,5/INT_SPK_1+,5,,"5556,18-24 AWG MOLEX","0039012125
MOLEX",,
,,,B,,B/AUDIO1-,100G0111-0.5/RAYCHEM,,,100mm,4/INT_SPK_1-,4,,,,,
,,,C,,C/AUDIO2+,100G0111-0.5/RAYCHEM,,,100mm,1/INT_SPK_2+,1,,,,,
,,,D,,D/AUDIO2-,100G0111-0.5/RAYCHEM,,,100mm,2/INT_SPK_2-,2,,,,,
,,,E,,E/AUDIO3+,100G0111-0.5/RAYCHEM,,,100mm,10/INT_SPK_3+,10,,,,,
,,,F,,F/AUDIO3-,100G0111-0.5/RAYCHEM,,,100mm,11/INT_SPK_3-,11,,,,,
,,,G,,G/AUDIO4+,100G0111-0.5/RAYCHEM,,,100mm,7/INT_SPK_4+,7,,,,,
,,,H,,H/AUDIO4-,100G0111-0.5/RAYCHEM,,,100mm,8/INT_SPK_4-,8,,,,,
,,,J,,J/ANSM1+,100G0111-0.5/RAYCHEM,,,100mm,2/ANSM1+,2,,"5556,18-24 AWG
MOLEX","0039012045
MOLEX",,
,,,K,,K/ANSM1-,100G0111-0.5/RAYCHEM,,,100mm,1/ANSM1-,1,,,,,
,,,L,,L/ANSM2+,100G0111-0.5/RAYCHEM,,,100mm,4/ANSM2+,4,,,,,
,,,M,,M/ANSM2-,100G0111-0.5/RAYCHEM,,,100mm,3/ANSM2-,3,,,,,
,,,,,,,,,,,,,,,,
,Diagram & Label,,,,,,,,,,,,,,,
,,,"
UTG01412S/SOURIAU",,,,,,,,,"0039012125
MOLEX",,,,
,,,,A,A/AUDIO1+,,,,,5/INT_SPK_1+,5,,,,,
,,,,B,B/AUDIO1-,,,,,4/INT_SPK_1-,4,,,,,
,,,,C,C/AUDIO2+,,,,,1/INT_SPK_2+,1,,,,,
,,,,D,D/AUDIO2-,,,,,2/INT_SPK_2-,2,,,,,
,,,,E,E/AUDIO3+,,,,,10/INT_SPK_3+,10,,,,,
,,,,F,F/AUDIO3-,,,,,11/INT_SPK_3-,11,,,,,
,,,,G,G/AUDIO4+,,,,,7/INT_SPK_4+,7,,,,,
,,,,H,H/AUDIO4-,,,,,8/INT_SPK_4-,8,,,,,
,,,,,,,,,,,,,,,,
,,,,,100mm,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"0039012045
MOLEX",,,,
,,,,J,J/ANSM1+,,,,,2/ANSM1+,2,,,,,
,,,,K,K/ANSM1-,,,,,1/ANSM1-,1,,,,,
,,,,L,L/ANSM2+,,,,,4/ANSM2+,4,,,,,
,,,,M,M/ANSM2-,,,,,3/ANSM2-,3,,,,,
,,,,,,,,,,,,,,,,
,,,,,100mm,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Part list,,,,,,,,,,,,,,,
,No.,P/N,Type,,Description,,,,Qty.,Maker,Maker P/N,,,REMARK,,
,1,-,CONN_HOUSING ,,,,,,1,WAGO,770-173,,,,,
,2,-,CONN_HOUSING ,,,,,,1,SOURIAU,UTG01412S,,,,,
,3,-,CONTACT_PIN (2.5mm),,,,,,12,SOURIAU,RC16M23K,,,,,
,4,-,CONN_HOUSING ,,,,,,1,MOLEX,"0039012125
MOLEX",,,,,
,5,-,CONTACT_PIN (2.5mm),,,,,,8,MOLEX,"5556,18-24 AWG MOLEX",,,"5103,22-28 AWG 에서수정",,
,6,-,CONN_HOUSING ,,,,,,1,MOLEX,"0039012045
MOLEX",,,,,
,7,-,CONTACT_PIN (2.5mm),,,,,,12,MOLEX,"5556,18-24 AWG
MOLEX",,,,,
,Total,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Revision history,,,,,,,,,,,,,,,
,No.,Date,Detail of revision,,,,,,REMARK,,,,,,,
,1,2024-07-13 00:00:00,최초작성,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
